t,Observations,Fit,Trend,Seasonal,Random
1,6359,NA,NA,0.989079562,NA
2,6285,NA,NA,0.9532541,NA
3,6421,NA,NA,1.025571769,NA
4,6574,NA,NA,0.991662034,NA
5,6492,NA,NA,1.01735808,NA
6,6343,NA,NA,0.980720969,NA
7,6237,6320.398509,6475.708333,0.97601655,0.986804865
8,6281,6356.306531,6464,0.983339501,0.98815247
9,6075,6173.743503,6469.708333,0.95425376,0.984005895
10,6441,6456.122413,6482.458333,0.995937356,0.997657663
11,6176,6345.791416,6490.208333,0.977748493,0.973243461
12,8122,7510.041603,6501.875,1.155057826,1.081485354
13,6164,6450.612055,6521.833333,0.989079562,0.955568239
14,6199,6234.321535,6540.041667,0.9532541,0.994334342
15,6644,6723.135729,6555.5,1.025571769,0.988229342
16,6657,6512.244576,6567,0.991662034,1.022228192
17,6595,6697.946482,6583.666667,1.01735808,0.984630143
18,6520,6493.353539,6621,0.980720969,1.004103652
19,6539,6497.830184,6657.5,0.97601655,1.006335933
20,6416,6560.759203,6671.916667,0.983339501,0.977935602
21,6311,6378.192371,6683.958333,0.95425376,0.989465296
22,6481,6667.178137,6694.375,0.995937356,0.972075422
23,6536,6551.97413,6701.083333,0.977748493,0.997561936
24,8658,7756.742704,6715.458333,1.155057826,1.116190176
25,6504,6649.829163,6723.25,0.989079562,0.978070239
26,6205,6426.839144,6742,0.9532541,0.965482387
27,6927,6943.206338,6770.083333,1.025571769,0.997665871
28,6624,6736.649431,6793.291667,0.991662034,0.983278122
29,6789,6935.033304,6816.708333,1.01735808,0.978942667
30,6671,6699.100626,6830.791667,0.980720969,0.995805314
31,6575,6683.191994,6847.416667,0.97601655,0.983811329
32,6830,6763.532002,6878.125,0.983339501,1.009827409
33,6571,6588.128198,6903.958333,0.95425376,0.997400142
34,6778,6898.318599,6926.458333,0.995937356,0.982558272
35,6801,6805.618385,6960.5,0.977748493,0.999321386
36,8731,8080.688297,6995.916667,1.155057826,1.080477266
37,6830,6943.50337,7020.166667,0.989079562,0.9836533
38,6616,6708.843482,7037.833333,0.9532541,0.98616103
39,7136,7238.912864,7058.416667,1.025571769,0.985783381
40,6955,7024.066143,7083.125,0.991662034,0.990167213
41,7275,7236.340856,7112.875,1.01735808,1.005342361
42,7035,7004.390891,7142.083333,0.980720969,1.004369989
43,6793,6995.029282,7166.916667,0.97601655,0.971118165
44,7036,7083.44512,7203.458333,0.983339501,0.993301971
45,6859,6911.540701,7242.875,0.95425376,0.99239812
46,7083,7248.473574,7278.041667,0.995937356,0.977171252
47,7210,7154.837555,7317.666667,0.977748493,1.007709811
48,9023,8486.450485,7347.208333,1.155057826,1.063224256
49,7134,7304.929526,7385.583333,0.989079562,0.976600797
50,7189,7091.416128,7439.166667,0.9532541,1.013760844
51,7509,7669.695739,7478.458333,1.025571769,0.979047964
52,7426,7460.686673,7523.416667,0.991662034,0.99535074
53,7755,7705.80922,7574.333333,1.01735808,1.006383597
54,7264,7476.321994,7623.291667,0.980720969,0.971600742
55,7485,7499.14183,7683.416667,0.97601655,0.998114207
56,7630,7604.20533,7733.041667,0.983339501,1.003392159
57,7208,7429.263127,7785.416667,0.95425376,0.970217352
58,7813,7807.318923,7839.166667,0.995937356,1.00072766
59,7702,7706.002528,7881.375,0.977748493,0.999480596
60,9706,9163.8919,7933.708333,1.155057826,1.059156972
61,7894,7900.190576,7987.416667,0.989079562,0.999216402
62,7620,7651.770663,8027,0.9532541,0.995847933
63,8335,8278.799905,8072.375,1.025571769,1.006788435
64,7890,8055.229382,8122.958333,0.991662034,0.979487936
65,8304,8303.464702,8161.791667,1.01735808,1.000064467
66,7971,8049.839444,8208.083333,0.980720969,0.990206085
67,8067,8064.011409,8262.166667,0.97601655,1.000370608
68,7998,8173.190149,8311.666667,0.983339501,0.978565267
69,7929,7968.655064,8350.666667,0.95425376,0.995023619
70,8306,8372.222891,8406.375,0.995937356,0.992090166
71,8141,8285.644426,8474.208333,0.977748493,0.982542767
72,10378,9859.477349,8535.916667,1.155057826,1.052591292
73,8520,8510.617512,8604.583333,0.989079562,1.001102445
74,8182,8270.710606,8676.291667,0.9532541,0.989274125
75,8709,8970.505331,8746.833333,1.025571769,0.970848317
76,8853,8745.508796,8819.041667,0.991662034,1.012291018
77,8969,9054.190186,8899.708333,1.01735808,0.990591076
78,8787,8815.292161,8988.583333,0.980720969,0.996790559
79,8899,8854.950821,9072.541667,0.97601655,1.004974526
