t,Observations,Fit,Trend,Seasonal,Random
1,29660,NA,NA,0.970655704,NA
2,28642,NA,NA,0.910405524,NA
3,29756,NA,NA,0.995068834,NA
4,30306,NA,NA,0.974628365,NA
5,31756,NA,NA,1.031868001,NA
6,30845,NA,NA,1.001024741,NA
7,32486,32009.55626,30972.95833,1.033467837,1.014884422
8,31548,31456.40254,30973.16667,1.015601759,1.002911886
9,30233,30207.99661,30986.79167,0.97486687,1.000827708
10,31486,30843.0573,31043.54167,0.993541833,1.020845622
11,30465,30986.67615,31077.08333,0.997090873,0.983164501
12,34268,34276.82426,31110.41667,1.101779659,0.999742559
13,30109,30246.44061,31160.83333,0.970655704,0.995455974
14,28198,28382.95436,31176.16667,0.910405524,0.993483611
15,30527,31030.93135,31184.70833,0.995068834,0.983760354
16,30897,30404.54709,31196.04167,0.974628365,1.016196686
17,31970,32199.9139,31205.45833,1.031868001,0.992859798
18,31431,31286.73633,31254.70833,1.001024741,1.004611017
19,33110,32342.93576,31295.54167,1.033467837,1.023716593
20,31292,31809.1972,31320.54167,1.015601759,0.98374064
21,30694,30608.91061,31398.04167,0.97486687,1.002779889
22,31297,31272.18457,31475.45833,0.993541833,1.00079353
23,30880,31413.30641,31504.95833,0.997090873,0.983022914
24,35035,34780.75073,31567.79167,1.101779659,1.007310057
25,30322,30699.77727,31627.875,0.970655704,0.987694462
26,28585,28856.97217,31696.83333,0.910405524,0.990575166
27,32000,31649.94708,31806.79167,0.995068834,1.011060142
28,31282,31075.4975,31884.45833,0.974628365,1.006645187
29,32293,32975.10473,31956.70833,1.031868001,0.979314554
30,32616,32087.05561,32054.20833,1.001024741,1.016484666
31,33367,33213.80466,32138.20833,1.033467837,1.0046124
32,32690,32698.77971,32196.45833,1.015601759,0.999731497
33,31935,31429.74852,32240.04167,0.97486687,1.016075581
34,31920,32073.93144,32282.41667,0.993541833,0.995200731
35,31991,32252.48302,32346.58333,0.997090873,0.991892624
36,36264,35706.52109,32408.04167,1.101779659,1.015612804
37,31109,31487.26215,32439.16667,0.970655704,0.98798682
38,29196,29566.74708,32476.45833,0.910405524,0.987460674
39,32435,32357.10933,32517.45833,0.995068834,1.00240722
40,31864,31704.90437,32530.25,0.974628365,1.005018013
41,33251,33592.37677,32554.91667,1.031868001,0.989837671
42,33133,32628.10948,32594.70833,1.001024741,1.015474097
43,33597,33731.3998,32639.04167,1.033467837,0.996015588
44,33355,33248.98196,32738.20833,1.015601759,1.00318861
45,32254,32012.31271,32837.625,0.97486687,1.007549823
46,31908,32671.25707,32883.625,0.993541833,0.976638271
47,32595,32854.93363,32950.79167,0.997090873,0.992088445
48,36615,36379.75437,33019.08333,1.101779659,1.006466389
49,31822,32103.91163,33074.45833,0.970655704,0.991218776
50,30863,30205.35862,33177.91667,0.910405524,1.021772341
51,33154,33080.27561,33244.20833,0.995068834,1.002228651
52,32249,32469.78459,33315.04167,0.974628365,0.993200306
53,34478,34513.23297,33447.33333,1.031868001,0.998979146
54,33545,33540.08473,33505.75,1.001024741,1.000146549
55,34514,34682.06102,33558.91667,1.033467837,0.995154238
56,34921,34127.43516,33603.16667,1.015601759,1.023252988
57,32279,32798.94904,33644.54167,0.97486687,0.984147387
58,33583,33497.75968,33715.5,0.993541833,1.002544657
59,34095,33678.23987,33776.5,0.997090873,1.01237476
60,36517,37265.95248,33823.41667,1.101779659,0.9799025
61,33196,32871.17452,33864.91667,0.970655704,1.009881773
62,30551,30879.47598,33918.375,0.910405524,0.989362644
63,34459,33801.2859,33968.79167,0.995068834,1.019458257
64,32647,33180.93842,34044.70833,0.974628365,0.983908278
65,35544,35180.03467,34093.54167,1.031868001,1.010345792
66,33605,34181.53304,34146.54167,1.001024741,0.983133201
67,35450,35352.99696,34208.125,1.033467837,1.002743842
68,35268,34769.76096,34235.625,1.015601759,1.014329665
69,33142,33346.62112,34206.33333,0.97486687,0.993863812
70,34542,34003.59666,34224.625,0.993541833,1.015833717
71,34308,34193.81895,34293.58333,0.997090873,1.003339231
72,37576,37833.82808,34338.83333,1.101779659,0.99318525
73,33615,33404.54983,34414.41667,0.970655704,1.006300045
74,30792,31375.19178,34462.875,0.910405524,0.981412328
75,33515,34337.95969,34508.125,0.995068834,0.97603353
76,34030,33706.75043,34584.20833,0.974628365,1.009590055
77,35816,35736.85644,34633.16667,1.031868001,1.00221462
78,34419,34750.86586,34715.29167,1.001024741,0.990450141
79,36450,35980.91479,34815.70833,1.033467837,1.013037056
80,35431,35448.77537,34904.20833,1.015601759,0.999498562
81,34065,34166.60602,35047.45833,0.97486687,0.99702616
82,35445,34952.01514,35179.20833,0.993541833,1.014104619
83,34580,35178.07227,35280.70833,0.997090873,0.98299872
84,39275,38997.16967,35394.70833,1.101779659,1.007124372
85,34326,34479.10614,35521.45833,0.970655704,0.995559452
86,32205,32428.49304,35619.83333,0.910405524,0.993108127
87,35540,35548.58531,35724.75,0.995068834,0.999758491
88,35167,34923.33028,35832.45833,0.974628365,1.006977276
89,37115,37068.82605,35924,1.031868001,1.001245627
90,35856,36135.90872,36098.91667,1.001024741,0.992254001
91,38055,37428.67405,36216.58333,1.033467837,1.016733854
92,36187,36842.85805,36276.875,1.015601759,0.982198502
93,35827,35467.56586,36381.95833,0.97486687,1.010134164
94,36268,36245.60661,36481.20833,0.993541833,1.000617824
