t,Observed,Fitted,Seasonal,Trend,Remainder
1,27352,27123.35108,-540.2410028,28120.88993,-228.6489243
2,26268,27286.06413,-2880.961007,28130.89688,1018.064128
3,27281,26426.47694,-5.380774869,28140.90383,-854.5230571
4,27635,27869.80121,-751.0034134,28151.2022,234.8012112
5,28931,28559.67454,1140.824888,28161.50057,-371.3254602
6,28086,27987.61878,13.72229998,28170.65892,-98.38122434
7,29527,29715.52729,1158.65543,28179.81728,188.5272934
8,28691,28617.98607,574.7755922,28189.23833,-73.01392517
9,27519,27658.23468,-818.8940666,28198.65939,139.234677
10,28628,29182.71439,-150.468322,28223.75393,554.7143897
11,27665,27252.08847,-170.9369455,28248.84847,-412.9115294
12,30342,29976.30325,2429.90733,28277.78942,-365.6967505
13,27615,27463.51064,-540.2410028,28306.73037,-151.4893636
14,25789,26126.72999,-2880.961007,28332.23102,337.7299902
15,27956,27559.64911,-5.380774869,28357.73167,-396.3508927
16,28157,28675.47757,-751.0034134,28389.52584,518.4775711
17,29142,28721.8551,1140.824888,28421.32002,-420.1449049
18,28621,28767.11431,13.72229998,28461.16339,146.1143139
19,30114,30568.33781,1158.65543,28501.00676,454.3378145
20,28515,27906.00498,574.7755922,28549.21943,-608.9950193
21,28065,28351.46197,-818.8940666,28597.4321,286.4619677
22,28576,28650.4883,-150.468322,28651.98003,74.48829526
23,28124,27712.40899,-170.9369455,28706.52795,-411.591009
24,31181,31163.18714,2429.90733,28768.90553,-17.81286168
25,27932,27572.95789,-540.2410028,28831.28311,-359.0421064
26,26216,26405.9167,-2880.961007,28907.04431,189.9166962
27,29307,29636.57526,-5.380774869,28982.80551,329.5752621
28,28573,28833.41636,-751.0034134,29063.58705,260.4163618
29,29448,28610.80652,1140.824888,29144.36859,-837.1934782
30,29767,30306.83145,13.72229998,29213.44625,539.8314454
31,30391,30340.82065,1158.65543,29282.52392,-50.17934913
32,29837,29762.37118,574.7755922,29336.85323,-74.62882064
33,29145,29717.71153,-818.8940666,29391.18254,572.7115286
34,29122,28954.31069,-150.468322,29440.15763,-167.6893121
35,29119,28919.80422,-170.9369455,29489.13273,-199.1957846
36,32199,32433.99391,2429.90733,29534.09876,234.9939068
37,28669,28299.17621,-540.2410028,29579.0648,-369.8237939
38,26798,26862.56921,-2880.961007,29614.3918,64.56921101
39,29748,29851.66198,-5.380774869,29649.7188,103.6619792
40,29126,29322.57969,-751.0034134,29680.42373,196.5796879
41,30429,30006.04646,1140.824888,29711.12866,-422.9535431
42,30271,30778.4493,13.72229998,29749.8284,507.4492995
43,30697,30446.81642,1158.65543,29788.52815,-250.1835762
44,30479,30539.32252,574.7755922,29843.90189,60.32251656
45,29423,29765.61843,-818.8940666,29899.27564,342.61843
46,29114,28421.97081,-150.468322,29956.49751,-692.0291911
47,29668,29493.21756,-170.9369455,30013.71939,-174.7824441
48,32510,32517.44844,2429.90733,30072.64423,7.448442198
49,29228,28864.67194,-540.2410028,30131.56907,-363.3280636
50,28246,29170.1014,-2880.961007,30202.85961,924.1013967
51,30304,30339.23062,-5.380774869,30274.15015,35.23062026
52,29401,29199.42303,-751.0034134,30353.58039,-201.5769729
53,31424,31274.16449,1140.824888,30433.01062,-149.8355058
54,30525,30542.65483,13.72229998,30493.62287,17.65483459
55,31429,31145.10946,1158.65543,30554.23511,-283.8905432
56,31792,32404.21322,574.7755922,30605.01118,612.213223
57,29529,29221.10681,-818.8940666,30655.78726,-307.8931902
58,30702,30845.08938,-150.468322,30709.37895,143.0893765
59,31032,31471.96631,-170.9369455,30762.97063,439.9663114
60,32463,31688.93005,2429.90733,30807.16262,-774.0699524
61,30528,30744.88639,-540.2410028,30851.35461,216.8863918
62,27972,27933.79961,-2880.961007,30891.1614,-38.20039095
63,31494,32062.41259,-5.380774869,30930.96819,568.4125896
64,29837,29448.45837,-751.0034134,30976.54505,-388.5416317
65,32401,32639.05321,1140.824888,31022.12191,238.0532072
66,30531,29992.30776,13.72229998,31055.96994,-538.6922434
67,32252,32255.52659,1158.65543,31089.81798,3.526587846
68,32074,32471.84731,574.7755922,31101.3771,397.8473083
69,30211,30127.95785,-818.8940666,31112.93622,-83.04215047
70,31422,31865.6785,-150.468322,31128.78982,443.678503
71,31172,31370.29352,-170.9369455,31144.64342,198.2935246
72,33178,32748.40044,2429.90733,31177.69223,-429.5995596
73,30819,30967.49996,-540.2410028,31210.74104,148.4999641
74,28046,27718.36675,-2880.961007,31254.59425,-327.6332451
75,30590,29886.93331,-5.380774869,31298.44747,-703.066691
76,30895,31180.35723,-751.0034134,31360.64618,285.3572309
77,32510,32456.33021,1140.824888,31422.8449,-53.66978679
78,31248,30972.39091,13.72229998,31509.88679,-275.6090887
79,33089,33422.41589,1158.65543,31596.92868,333.4158913
80,32229,32181.03626,574.7755922,31702.18815,-47.9637379
81,31003,31017.44645,-818.8940666,31807.44761,14.44645362
82,32207,32648.31407,-150.468322,31916.15425,441.3140715
83,31368,30882.07606,-170.9369455,32024.86089,-485.9239424
84,34671,34782.04953,2429.90733,32130.04314,111.0495283
85,31512,31329.01561,-540.2410028,32235.2254,-182.9843929
86,29413,29367.33123,-2880.961007,32339.62977,-45.66876541
87,32455,32471.34663,-5.380774869,32444.03415,16.34662541
88,31960,32117.18143,-751.0034134,32553.82199,157.181426
89,33747,33689.56529,1140.824888,32663.60983,-57.43471321
90,32596,32409.64503,13.72229998,32768.63267,-186.3549673
91,34607,35181.68906,1158.65543,32873.65551,574.6890604
92,32993,32452.811,574.7755922,32958.41341,-540.188999
93,32684,33143.72276,-818.8940666,33043.1713,459.7227624
94,33007,33050.13186,-150.468322,33114.33646,43.13185943
95,32595,32175.43532,-170.9369455,33185.50162,-419.5646753
96,37155,38630.93354,2429.90733,33249.15913,1475.933537
97,31447,30121.42436,-540.2410028,33312.81665,-1325.575643
98,30631,30775.1132,-2880.961007,33367.8478,144.113203
99,33343,33268.50181,-5.380774869,33422.87896,-74.49818787
100,33127,33527.98979,-751.0034134,33477.01362,400.9897935
101,34200,33728.02684,1140.824888,33531.14828,-471.9731649
102,33975,34340.48302,13.72229998,33595.79468,365.4830166
103,34587,34354.90348,1158.65543,33660.44109,-232.0965201
104,34262,34206.67154,574.7755922,33742.55287,-55.32845769
105,33318,33630.22943,-818.8940666,33824.66464,312.2294255
106,33140,32510.32874,-150.468322,33920.13959,-629.6712631
107,33868,33891.32242,-170.9369455,34015.61453,23.32241651
108,37090,37621.66068,2429.90733,34128.43199,531.6606844
109,33010,32318.99156,-540.2410028,34241.24944,-691.0084397
110,31357,31230.57616,-2880.961007,34364.38485,-126.4238389
111,34770,35057.86053,-5.380774869,34487.52025,287.8605252
112,33669,33474.47008,-751.0034134,34614.53333,-194.5299204
113,36100,36317.62869,1140.824888,34741.54642,217.6286943
114,35293,35718.97388,13.72229998,34853.30382,425.973875
115,35534,34944.28334,1158.65543,34965.06123,-589.7166624
116,36061,36503.08815,574.7755922,35044.13626,442.0881519
117,34521,34737.68279,-818.8940666,35123.21128,216.6827868
118,34996,34990.10252,-150.468322,35152.3658,-5.8974793
119,35447,35883.41662,-170.9369455,35181.52032,436.4166228
120,37838,38067.32859,2429.90733,35178.76408,229.3285889
121,34630,34624.23316,-540.2410028,35176.00784,-5.766837083
122,32093,31914.12431,-2880.961007,35152.83669,-178.8756876
123,35924,36723.71523,-5.380774869,35129.66555,799.7152252
124,33228,32104.65143,-751.0034134,35102.35199,-1123.348573
125,36510,36804.13669,1140.824888,35075.03842,294.1366885
126,34952,34823.19516,13.72229998,35067.08254,-128.8048362
127,35899,35580.21792,1158.65543,35059.12665,-318.7820791
128,36040,36422.67756,574.7755922,35082.54685,382.6775599
129,33627,32966.92702,-818.8940666,35105.96705,-660.0729803
130,34911,34815.88901,-150.468322,35156.57931,-95.11098547
131,35686,36335.74538,-170.9369455,35207.19157,649.7453776
132,36788,35872.70343,2429.90733,35273.38924,-915.2965665
133,35425,36050.6541,-540.2410028,35339.58691,625.6540974
134,32474,32417.06398,-2880.961007,35411.89703,-56.93602157
135,35299,35119.17362,-5.380774869,35484.20715,-179.8263773
136,34883,34966.88681,-751.0034134,35550.1166,83.88681078
137,37085,37413.14906,1140.824888,35616.02605,328.1490591
138,35237,34779.57521,13.72229998,35680.70249,-457.4247945
139,37131,37357.96563,1158.65543,35745.37894,226.9656336
140,36666,36938.36836,574.7755922,35818.85605,272.3683598
141,34717,34360.56091,-818.8940666,35892.33316,-356.4390932
142,35890,35961.0298,-150.468322,35969.43853,71.02979519
143,35805,35734.39305,-170.9369455,36046.54389,-70.60694821
144,37688,36825.17126,2429.90733,36120.92141,-862.8287384
145,36494,37332.94208,-540.2410028,36195.29892,838.9420795
146,33717,34040.8109,-2880.961007,36274.15011,323.810901
147,35910,35472.37949,-5.380774869,36353.00129,-437.6205142
148,35893,36088.77446,-751.0034134,36448.22895,195.774464
149,37750,37815.7185,1140.824888,36543.45661,65.71850242
150,36377,36091.0106,13.72229998,36649.2671,-285.9894033
151,38183,38452.26697,1158.65543,36755.0776,269.2669728
152,36619,35800.12094,574.7755922,36863.10346,-818.8790558
153,36369,36585.76474,-818.8940666,36971.12933,216.7647363
154,37010,37082.09994,-150.468322,37088.36838,72.09994014
155,36877,36719.32951,-170.9369455,37205.60743,-157.6704879
156,40078,40399.39168,2429.90733,37326.70099,321.3916806
157,37169,37430.44646,-540.2410028,37447.79455,261.446457
158,34277,33863.69592,-2880.961007,37571.26509,-413.3040804
159,38198,38706.64515,-5.380774869,37694.73563,508.6451455
160,36897,36733.1276,-751.0034134,37811.87581,-163.8723951
161,38729,38388.15912,1140.824888,37929.01599,-340.8408755
162,38209,38371.26342,13.72229998,38033.01428,162.2634212
163,39280,39264.332,1158.65543,38137.01257,-15.66800038
164,38623,38443.1535,574.7755922,38228.0709,-179.8464959
165,37845,38189.76483,-818.8940666,38319.12924,344.7648293
166,38256,38245.19132,-150.468322,38417.277,-10.80867746
167,38362,38379.51218,-170.9369455,38515.42476,17.51218401
168,41775,42494.71423,2429.90733,38625.37844,719.7142333
169,37515,36834.90889,-540.2410028,38735.33211,-680.0911095
170,35537,35112.52212,-2880.961007,38842.43889,-424.4778789
171,38865,38785.83511,-5.380774869,38949.54566,-79.164885
172,38309,38307.41565,-751.0034134,39061.58776,-1.584346843
173,40384,40453.54525,1140.824888,39173.62986,69.54525159
174,39608,39892.48679,13.72229998,39309.79091,284.4867927
175,40392,40179.39262,1158.65543,39445.95195,-212.6073843
176,40367,40566.25974,574.7755922,39592.96466,199.259744
177,38779,38636.91669,-818.8940666,39739.97737,-142.0833071
178,39322,38920.7539,-150.468322,39873.71442,-401.2460984
179,40022,40207.48548,-170.9369455,40007.45147,185.4854784
180,43008,43449.4247,2429.90733,40136.66797,441.4247029
181,39733,39740.35654,-540.2410028,40265.88447,7.356535252
182,37224,36937.34348,-2880.961007,40391.61752,-286.6565165
183,40896,41280.0302,-5.380774869,40517.35058,384.0301951
184,39292,38689.32513,-751.0034134,40645.67828,-602.6748657
185,42230,42545.16913,1140.824888,40774.00598,315.1691337
186,41334,41728.48734,13.72229998,40925.79036,394.4873433
187,41627,41017.76983,1158.65543,41077.57473,-609.2301653
188,41870,41910.22954,574.7755922,41254.99487,40.22953622
189,40213,39812.47906,-818.8940666,41432.41501,-400.5209415
190,40947,40437.22784,-150.468322,41607.24048,-509.7721604
191,41962,42312.87099,-170.9369455,41782.06596,350.8709889
192,44514,44645.9653,2429.90733,41952.12737,131.9652966
193,41894,42206.05221,-540.2410028,42122.18879,312.0522122
