t,Observations,Fit,Trend,Seasonal,Random
1,846,NA,NA,0.82403944,NA
2,822,NA,NA,0.771355428,NA
3,962,NA,NA,0.932942507,NA
4,1077,NA,NA,1.064822442,NA
5,1235,NA,NA,1.185367344,NA
6,1170,NA,NA,1.133018215,NA
7,1147,1130.915431,1061.541667,1.0653519,1.01422261
8,1086,1085.95647,1062.5,1.022076678,1.000040084
9,1056,1032.558106,1062.958333,0.971400359,1.022702736
10,1110,1066.795555,1064.833333,1.00184275,1.040499274
11,1041,1053.031514,1067.916667,0.986061504,0.988574403
12,1168,1116.551758,1071.833333,1.041721435,1.046077794
13,883,885.9454025,1075.125,0.82403944,0.996675413
14,808,831.0390541,1077.375,0.771355428,0.972276809
15,987,1006.528347,1078.875,0.932942507,0.980598314
16,1097,1149.786399,1079.791667,1.064822442,0.954090256
17,1289,1282.814418,1082.208333,1.185367344,1.004821884
18,1210,1230.5522,1086.083333,1.133018215,0.983298392
19,1186,1162.032584,1090.75,1.0653519,1.020625425
20,1101,1120.536731,1096.333333,1.022076678,0.982564845
21,1077,1069.997495,1101.5,0.971400359,1.006544413
22,1111,1111.920222,1109.875,1.00184275,0.999172403
23,1098,1100.239209,1115.791667,0.986061504,0.997964798
24,1204,1165.29564,1118.625,1.041721435,1.033214198
25,959,924.949936,1122.458333,0.82403944,1.036812872
26,866,869.7675245,1127.583333,0.771355428,0.995668355
27,1053,1057.91793,1133.958333,0.932942507,0.995351312
28,1232,1214.030687,1140.125,1.064822442,1.014801367
29,1296,1359.07305,1146.541667,1.185367344,0.953591126
30,1271,1304.056757,1150.958333,1.133018215,0.97465083
31,1217,1224.178112,1149.083333,1.0653519,0.994136383
32,1193,1170.10745,1144.833333,1.022076678,1.019564485
33,1138,1111.68676,1144.416667,0.971400359,1.023669653
34,1198,1143.728729,1141.625,1.00184275,1.047451174
35,1165,1124.562059,1140.458333,0.986061504,1.035958835
36,1243,1193.074878,1145.291667,1.041721435,1.041845757
37,875,946.5809712,1148.708333,0.82403944,0.924379453
38,848,886.1266875,1148.791667,0.771355428,0.956973774
39,1061,1071.912068,1148.958333,0.932942507,0.989819997
40,1157,1221.573179,1147.208333,1.064822442,0.947139328
41,1343,1358.430976,1146,1.185367344,0.988640589
42,1340,1299.666311,1147.083333,1.133018215,1.03103388
43,1230,1226.486374,1151.25,1.0653519,1.00286479
44,1182,1184.075831,1158.5,1.022076678,0.998246876
45,1153,1126.945841,1160.125,0.971400359,1.023119265
46,1141,1164.80917,1162.666667,1.00184275,0.979559596
47,1193,1151.391149,1167.666667,0.986061504,1.036137894
48,1241,1216.036155,1167.333333,1.041721435,1.020528868
49,977,961.1733363,1166.416667,0.82403944,1.016465983
50,920,900.2360639,1167.083333,0.771355428,1.021954171
51,1028,1086.256059,1164.333333,0.932942507,0.946369865
52,1251,1238.743441,1163.333333,1.064822442,1.009894348
53,1369,1380.459053,1164.583333,1.185367344,0.9916991
54,1306,1318.172275,1163.416667,1.133018215,0.990765793
55,1242,1240.069611,1164,1.0653519,1.001556678
56,1186,1189.101042,1163.416667,1.022076678,0.997392112
57,1083,1128.483892,1161.708333,0.971400359,0.959694691
58,1187,1161.803642,1159.666667,1.00184275,1.021687277
59,1177,1140.297957,1156.416667,0.986061504,1.032186362
