t,Observations,Fit,Trend,Seasonal,Random
1,7263,NA,NA,0.981417446,NA
2,7155,NA,NA,0.949465383,NA
3,7417,NA,NA,1.026654795,NA
4,7537,NA,NA,0.991219041,NA
5,7495,NA,NA,1.018076568,NA
6,7393,NA,NA,0.987996802,NA
7,7283,7342.469775,7478.333333,0.981832375,0.991900576
8,7320,7404.912131,7474.375,0.990706531,0.988533
9,7078,7146.83238,7486.75,0.954597439,0.990368827
10,7475,7440.429037,7507.583333,0.991055138,1.004646367
11,7122,7312.640737,7523.583333,0.971962483,0.973929974
12,9244,8711.419405,7542.25,1.155015997,1.061135915
13,7179,7428.675789,7569.333333,0.981417446,0.96639027
14,7144,7211.387388,7595.208333,0.949465383,0.99065542
15,7725,7821.35567,7618.291667,1.026654795,0.987680439
16,7729,7568.163885,7635.208333,0.991219041,1.021251669
17,7687,7793.97001,7655.583333,1.018076568,0.986275286
18,7649,7605.228886,7697.625,0.987996802,1.005755397
19,7677,7596.027986,7736.583333,0.981832375,1.010659784
20,7547,7681.484371,7753.541667,0.990706531,0.982492398
21,7405,7418.256252,7771.083333,0.954597439,0.998213023
22,7554,7717.55283,7787.208333,0.991055138,0.978807682
23,7532,7584.749734,7803.541667,0.971962483,0.99304529
24,9843,9046.662798,7832.5,1.155015997,1.088025521
25,7515,7708.297976,7854.25,0.981417446,0.974923391
26,7215,7487.642253,7886.166667,0.949465383,0.963587703
27,8075,8139.490324,7928.166667,1.026654795,0.99207686
28,7766,7893.407633,7963.333333,0.991219041,0.983858982
29,8042,8142.152196,7997.583333,1.018076568,0.987699543
30,7989,7929.25067,8025.583333,0.987996802,1.007535306
31,7859,7910.90981,8057.291667,0.981832375,0.9934382
32,8131,8024.599066,8099.875,0.990706531,1.013259346
33,7829,7768.871936,8138.375,0.954597439,1.007739613
34,7974,8101.256345,8174.375,0.991055138,0.984291777
35,7934,7989.896095,8220.375,0.971962483,0.993004152
36,10113,9549.239134,8267.625,1.155015997,1.059037255
37,8006,8147.482284,8301.75,0.981417446,0.982634846
38,7746,7908.571906,8329.5,0.949465383,0.979443582
39,8468,8580.951886,8358.166667,1.026654795,0.986836905
40,8237,8316.079952,8389.75,0.991219041,0.990490718
41,8675,8580.518998,8428.166667,1.018076568,1.011011106
42,8490,8361.293439,8462.875,0.987996802,1.01539314
43,8177,8339.029635,8493.333333,0.981832375,0.980569725
44,8479,8462.73903,8542.125,0.990706531,1.001921478
45,8169,8204.804767,8595.041667,0.954597439,0.995636122
46,8392,8566.763202,8644.083333,0.991055138,0.979599856
47,8438,8457.369551,8701.333333,0.971962483,0.997709743
48,10442,10099.84489,8744.333333,1.155015997,1.033877264
49,8408,8632.752318,8796.208333,0.981417446,0.973965161
50,8515,8415.784226,8863.708333,0.949465383,1.011789249
51,8969,9149.419202,8911.875,1.026654795,0.980280803
52,8913,8889.376265,8968.125,0.991219041,1.002657524
53,9373,9198.406636,9035.083333,1.018076568,1.018980827
54,8824,8991.553066,9100.791667,0.987996802,0.981365503
55,9088,9008.312037,9175,0.981832375,1.008846048
56,9188,9148.555626,9234.375,0.990706531,1.004311541
57,8616,8875.608343,9297.75,0.954597439,0.970750361
58,9295,9279.99255,9363.75,0.991055138,1.001617183
59,9142,9149.12335,9413.041667,0.971962483,0.999221417
60,11315,10945.22034,9476.25,1.155015997,1.033784579
61,9316,9369.469681,9546.875,0.981417446,0.994293201
62,9032,9118.705098,9604.041667,0.949465383,0.990491512
63,9973,9927.794646,9670.041667,1.026654795,1.004553414
64,9493,9656.662405,9742.208333,0.991219041,0.983051866
65,9976,9974.096141,9797,1.018076568,1.00019088
66,9738,9740.866307,9859.208333,0.987996802,0.999705744
67,9869,9753.277351,9933.75,0.981832375,1.011865001
68,9779,9907.725786,10000.66667,0.990706531,0.987007534
69,9609,9594.857738,10051.20833,0.954597439,1.001473942
70,10034,10027.49589,10118,0.991055138,1.000648628
71,9718,9910.696454,10196.58333,0.971962483,0.980556719
72,12232,11858.40487,10266.875,1.155015997,1.03150467
73,10188,10150.92332,10343.125,0.981417446,1.003652542
74,9766,9895.288659,10421.95833,0.949465383,0.986934322
75,10452,10778.76314,10498.91667,1.026654795,0.969684542
76,10617,10482.38917,10575.25,0.991219041,1.012841618
77,10738,10854.26575,10661.54167,1.018076568,0.989288474
78,10663,10628.66377,10757.79167,0.987996802,1.003230531
79,10774,10646.17208,10843.16667,0.981832375,1.012006938
80,10766,10820.90953,10922.41667,0.990706531,0.994925609
81,10469,10528.93133,11029.70833,0.954597439,0.994307938
82,11006,11034.32532,11133.91667,0.991055138,0.997432981
83,10817,10906.22903,11220.83333,0.971962483,0.991818526
84,13443,13066.5516,11312.875,1.155015997,1.02881008
85,11026,11185.62356,11397.41667,0.981417446,0.985729579
86,10830,10892.97897,11472.75,0.949465383,0.994218389
87,11963,11858.2051,11550.33333,1.026654795,1.008837332
88,11607,11523.82997,11625.91667,0.991219041,1.007217221
89,11834,11923.11889,11711.41667,1.018076568,0.992525539
90,11776,11690.0605,11832.08333,0.987996802,1.007351502
91,11690,11724.83767,11941.79167,0.981832375,0.997028729
92,11658,11924.80428,12036.66667,0.990706531,0.977626108
93,11439,11583.20465,12134.125,0.954597439,0.987550539
94,11850,12101.48523,12210.70833,0.991055138,0.979218647
95,12025,11959.26938,12304.25,0.971962483,1.005496207
96,15131,14330.09097,12406.83333,1.155015997,1.055890017
97,11971,12253.73288,12485.75,0.981417446,0.976926796
98,12162,11942.61295,12578.25,0.949465383,1.018370105
99,12970,13022.38886,12684.29167,1.026654795,0.995977016
100,12438,12671.82683,12784.08333,0.991219041,0.981547505
101,13248,13111.00215,12878.20833,1.018076568,1.010449076
102,12824,12779.24464,12934.5,0.987996802,1.003502191
103,12536,12767.95275,13004.20833,0.981832375,0.981833208
104,13032,12968.72001,13090.375,0.990706531,1.004879432
105,12610,12565.28655,13162.91667,0.954597439,1.003558491
106,13074,13130.61341,13249.125,0.991055138,0.995688442
107,13060,12959.78326,13333.625,0.971962483,1.007732902
108,15447,15489.05328,13410.25,1.155015997,0.997284968
109,13328,13236.41799,13487.04167,0.981417446,1.006918942
110,12873,12885.35295,13571.16667,0.949465383,0.999041318
111,14000,13992.40653,13629.125,1.026654795,1.000542685
112,13477,13576.2316,13696.5,0.991219041,0.992690785
113,14237,14037.40941,13788.16667,1.018076568,1.014218478
114,13674,13692.40068,13858.75,0.987996802,0.998656139
115,13529,13684.73873,13937.95833,0.981832375,0.988619532
116,14058,13903.08011,14033.5,0.990706531,1.011142847
117,12975,13483.64906,14124.95833,0.954597439,0.962276602
118,14326,14100.36086,14227.625,0.991055138,1.016002366
119,14008,13933.36568,14335.29167,0.971962483,1.005356518
120,16193,16650.99937,14416.25,1.155015997,0.972494181
121,14483,14235.7463,14505.29167,0.981417446,1.01736851
122,14011,13866.70455,14604.75,0.949465383,1.010405893
123,15057,15100.25261,14708.20833,1.026654795,0.997135637
124,14884,14680.16051,14810.20833,0.991219041,1.013885372
125,15414,15158.99043,14889.83333,1.018076568,1.016822332
126,14440,14790.55913,14970.25,0.987996802,0.976298453
127,14900,14782.05914,15055.58333,0.981832375,1.007978649
128,15074,14990.46309,15131.08333,0.990706531,1.005572671
129,14442,14506.10246,15196.04167,0.954597439,0.995581
130,15307,15128.3741,15264.91667,0.991055138,1.011807343
131,14938,14902.57427,15332.45833,0.971962483,1.002377155
132,17193,17797.6415,15409,1.155015997,0.966026875
133,15531,15212.25666,15500.29167,0.981417446,1.020953061
134,14775,14798.48614,15586.125,0.949465383,0.998412936
135,15852,16097.1772,15679.25,1.026654795,0.984768932
136,15742,15645.56655,15784.16667,0.991219041,1.006163628
137,16177,16154.96625,15868.125,1.018076568,1.0013639
138,15514,15781.89042,15973.625,0.987996802,0.983025454
139,16017,15788.56005,16080.70833,0.981832375,1.014468701
140,16017,16002.42853,16152.54167,0.990706531,1.000910579
141,15734,15508.39,16246,0.954597439,1.014547609
142,16533,16190.45485,16336.58333,0.991055138,1.021157228
143,15727,15927.46821,16386.91667,0.971962483,0.98741368
144,18936,18988.99238,16440.45833,1.155015997,0.997209311
145,16358,16185.08671,16491.54167,0.981417446,1.010683495
146,15672,15686.43408,16521.33333,0.949465383,0.999079837
147,17198,16990.62353,16549.5,1.026654795,1.012205348
148,16570,16412.43968,16557.83333,0.991219041,1.009600055
149,16557,16886.07248,16586.25,1.018076568,0.980512195
150,16419,16427.99916,16627.58333,0.987996802,0.999452206
151,16338,16356.55008,16659.20833,0.981832375,0.998865893
152,16411,16559.37072,16714.70833,0.990706531,0.991040075
153,16016,16022.99757,16785.08333,0.954597439,0.99956328
154,16451,16694.90192,16845.58333,0.991055138,0.985390635
155,16491,16440.98839,16915.25,0.971962483,1.003041886
156,19164,19629.59312,16995.08333,1.155015997,0.976281061
157,16889,16741.14147,17058.125,0.981417446,1.008832046
158,16473,16272.68939,17138.79167,0.949465383,1.012309619
159,18086,17695.8926,17236.45833,1.026654795,1.022045082
160,17134,17170.72225,17322.83333,0.991219041,0.997861345
161,17665,17719.15606,17404.54167,1.018076568,0.996943644
162,17227,17280.10524,17490.04167,0.987996802,0.996926799
163,17043,17257.21764,17576.54167,0.981832375,0.98758678
164,17642,17487.1261,17651.16667,0.990706531,1.008856452
165,17129,16918.44974,17723.125,0.954597439,1.012445009
166,17411,17631.11867,17790.25,0.991055138,0.987515332
167,17492,17374.27486,17875.45833,0.971962483,1.00677583
168,20215,20773.54022,17985.5,1.155015997,0.973112902
169,17914,17742.39173,18078.33333,0.981417446,1.009672217
170,17239,17250.75742,18168.91667,0.949465383,0.99931844
171,19047,18746.58823,18259.875,1.026654795,1.016024877
172,17784,18202.37477,18363.625,0.991219041,0.977015374
173,19060,18819.27263,18485.125,1.018076568,1.012791534
174,18473,18365.04923,18588.16667,0.987996802,1.005878055
175,18025,18363.29272,18703.08333,0.981832375,0.981577774
176,18834,18649.47254,18824.41667,0.990706531,1.009894513
177,18120,18065.51789,18924.75,0.954597439,1.003015807
178,18910,18866.63408,19036.91667,0.991055138,1.002298551
179,18909,18609.88217,19146.70833,0.971962483,1.016073064
180,21271,22222.12278,19239.66667,1.155015997,0.957199283
181,19616,18982.69892,19342.125,0.981417446,1.033362015
182,18449,18471.84902,19455,0.949465383,0.998763035
183,20245,20063.61522,19542.70833,1.026654795,1.009040483
184,19278,19457.21677,19629.58333,0.991219041,0.990789188
185,20201,20072.3552,19715.95833,1.018076568,1.006409053
186,19563,19528.53896,19765.79167,0.987996802,1.00176465
187,19394,19452.14483,19812.08333,0.981832375,0.997010878
188,20174,19724.51297,19909.54167,0.990706531,1.022788245
189,18885,19095.25011,20003.45833,0.954597439,0.988989403
190,20230,19883.82829,20063.29167,0.991055138,1.017409711
191,19662,19565.52378,20129.91667,0.971962483,1.004930929
192,21714,23311.59162,20182.91667,1.155015997,0.93146793
193,20284,19873.13079,20249.41667,0.981417446,1.020674609
194,20120,19272.20878,20297.95833,0.949465383,1.043990351
195,20828,20891.99731,20349.58333,1.026654795,0.996936755
196,20131,20245.93803,20425.29167,0.991219041,0.994322909
197,20947,20830.05869,20460.20833,1.018076568,1.005614065
198,20089,20277.8522,20524.20833,0.987996802,0.990686775
199,20464,20223.94689,20598.16667,0.981832375,1.011869746
200,20269,20412.22842,20603.70833,0.990706531,0.992983205
201,20029,19686.58344,20622.91667,0.954597439,1.017393397
202,20903,20508.48209,20693.58333,0.991055138,1.019236817
203,19827,20159.02838,20740.54167,0.971962483,0.983529545
204,23085,24008.45127,20786.25,1.155015997,0.961536408
205,20688,20454.94777,20842.25,0.981417446,1.011393441
206,19849,19818.82391,20873.66667,0.949465383,1.001522597
207,21560,21472.31393,20914.83333,1.026654795,1.004083681
208,21095,20778.88346,20962.95833,0.991219041,1.015213355
209,21110,21399.54527,21019.58333,1.018076568,0.98646956
210,21023,20826.2316,21079.25,0.987996802,1.009448104
211,20874,20727.99509,21111.54167,0.981832375,1.007043851
212,20613,20940.85291,21137.29167,0.990706531,0.984343861
213,20673,20238.73851,21201.33333,0.954597439,1.021456944
214,21414,21082.4269,21272.70833,0.991055138,1.015727464
215,20675,20718.55478,21316.20833,0.971962483,0.997897789
216,23669,24674.8955,21363.25,1.155015997,0.959234052
217,20879,21023.47471,21421.54167,0.981417446,0.993127934
218,20276,20415.48378,21502.08333,0.949465383,0.993167745
219,22670,22164.83537,21589.375,1.026654795,1.022791265
220,21698,21461.00737,21651.125,0.991219041,1.011042941
221,21551,22127.72454,21734.83333,1.018076568,0.973936564
222,21711,21591.68212,21854,0.987996802,1.005526104
223,21585,21579.98013,21979.29167,0.981832375,1.000232617
224,21835,21888.71139,22094.04167,0.990706531,0.99754616
225,21546,21185.77872,22193.41667,0.954597439,1.017002976
