t,Observations,Fit,Trend,Seasonal,Random
1,1519,NA,NA,0.857446009,NA
2,1551,NA,NA,0.844255823,NA
3,1606,NA,NA,0.933547209,NA
4,1686,NA,NA,0.938909791,NA
5,1834,NA,NA,1.015499248,NA
6,1786,NA,NA,1.004087596,NA
7,1924,1913.407583,1823.083333,1.049544773,1.005535892
8,1874,1854.292922,1826.916667,1.01498495,1.010627813
9,1781,1759.981763,1829.833333,0.961826266,1.011942304
10,1894,1813.700614,1834.875,0.988460039,1.044273782
11,1843,1874.550884,1835.375,1.021344894,0.98316883
12,2527,2514.12139,1835,1.370093401,1.005122509
13,1623,1575.414135,1837.333333,0.857446009,1.030205306
14,1539,1549.490853,1835.333333,0.844255823,0.993229483
15,1688,1707.535641,1829.083333,0.933547209,0.98855916
16,1725,1709.950336,1821.208333,0.938909791,1.008801229
17,1807,1842.073324,1813.958333,1.015499248,0.980959865
18,1804,1816.478136,1809.083333,1.004087596,0.993130588
19,1962,1892.853998,1803.5,1.049544773,1.036530024
20,1788,1826.676873,1799.708333,1.01498495,0.978826647
21,1717,1731.447584,1800.166667,0.961826266,0.991655777
22,1769,1782.68768,1803.5,0.988460039,0.992321885
23,1794,1845.357443,1806.791667,1.021344894,0.97216938
24,2459,2481.182062,1810.958333,1.370093401,0.991059882
25,1557,1556.264507,1815,0.857446009,1.000472602
26,1514,1536.334534,1819.75,0.844255823,0.985462454
27,1724,1706.563196,1828.041667,0.933547209,1.010217497
28,1769,1722.821224,1834.916667,0.938909791,1.02680416
29,1842,1868.05318,1839.541667,1.015499248,0.986053299
30,1869,1855.302856,1847.75,1.004087596,1.0073827
31,1994,1945.50616,1853.666667,1.049544773,1.024926079
32,1870,1881.612934,1853.833333,1.01498495,0.993828203
33,1834,1783.386202,1854.166667,0.961826266,1.028380727
34,1817,1830.792736,1852.166667,0.988460039,0.99246625
35,1857,1888.12626,1848.666667,1.021344894,0.983514736
36,2593,2531.704256,1847.833333,1.370093401,1.024211258
37,1565,1581.130441,1844,0.857446009,0.989798159
38,1510,1553.501069,1840.083333,0.844255823,0.971998044
39,1736,1718.738208,1841.083333,0.933547209,1.010043293
40,1709,1728.806774,1841.291667,0.938909791,0.988543095
41,1818,1870.591928,1842.041667,1.015499248,0.971884874
42,1873,1851.997735,1844.458333,1.004087596,1.01134033
43,1898,1942.313795,1850.625,1.049544773,0.977185049
44,1872,1890.071142,1862.166667,1.01498495,0.990438909
45,1856,1801.700978,1873.208333,0.961826266,1.030137644
46,1800,1860.405351,1882.125,0.988460039,0.967531081
47,1892,1933.065435,1892.666667,1.021344894,0.978756314
48,2616,2607.401916,1903.083333,1.370093401,1.003297568
49,1690,1640.615758,1913.375,0.857446009,1.030101041
50,1662,1627.760404,1928.041667,0.844255823,1.021034789
51,1849,1805.285814,1933.791667,0.933547209,1.024214552
52,1810,1815.851536,1934,0.938909791,0.996777525
53,1970,1971.634103,1941.541667,1.015499248,0.999171194
54,1971,1951.862613,1943.916667,1.004087596,1.009804679
55,2047,2039.003107,1942.75,1.049544773,1.003921962
56,2075,1971.565975,1942.458333,1.01498495,1.052462878
57,1791,1867.505925,1941.625,0.961826266,0.959033102
58,1870,1920.413112,1942.833333,0.988460039,0.973748819
59,2003,1989.28196,1947.708333,1.021344894,1.006895975
60,2562,2676.64872,1953.625,1.370093401,0.957167065
61,1716,1678.807832,1957.916667,0.857446009,1.022153916
62,1629,1655.761555,1961.208333,0.844255823,0.983837313
63,1862,1835.93728,1966.625,0.933547209,1.014195866
64,1826,1858.454568,1979.375,0.938909791,0.982536798
65,2071,2022.155191,1991.291667,1.015499248,1.024154827
66,2012,2015.036458,2006.833333,1.004087596,0.9984931
67,2109,2124.759661,2024.458333,1.049544773,0.99258285
68,2092,2067.228307,2036.708333,1.01498495,1.011983047
69,1904,1966.77441,2044.833333,0.961826266,0.968082557
70,2063,2029.226088,2052.916667,0.988460039,1.01664374
71,2096,2106.608955,2062.583333,1.021344894,0.994963966
72,2842,2834.038199,2068.5,1.370093401,1.002809348
73,1859,1779.807827,2075.708333,0.857446009,1.044494789
74,1780,1757.740623,2082,0.844255823,1.01266363
75,1906,1950.452405,2089.291667,0.933547209,0.977209183
76,1976,1971.35847,2099.625,0.938909791,1.002354483
77,2153,2139.826166,2107.166667,1.015499248,1.006156497
78,2072,2127.577943,2118.916667,1.004087596,0.973877365
79,2222,2233.956049,2128.5,1.049544773,0.994648038
80,2130,2162.763765,2130.833333,1.01498495,0.984850974
81,2041,2054.701362,2136.25,0.961826266,0.993331702
82,2174,2120.946943,2145.708333,0.988460039,1.025013854
83,2166,2200.274793,2154.291667,1.021344894,0.984422494
84,3054,2960.600577,2160.875,1.370093401,1.031547458
85,1877,1860.622113,2169.958333,0.857446009,1.008802371
86,1818,1837.417266,2176.375,0.844255823,0.989432304
87,1998,2036.455441,2181.416667,0.933547209,0.981116483
88,2111,2054.25638,2187.916667,0.938909791,1.027622462
89,2224,2229.401662,2195.375,1.015499248,0.99757708
90,2159,2219.033588,2210,1.004087596,0.972946066
91,2353,2331.913561,2221.833333,1.049544773,1.009042548
92,2153,2264.558297,2231.125,1.01498495,0.950737282
93,2139,2160.943088,2246.708333,0.961826266,0.989845597
94,2232,2230.583636,2256.625,0.988460039,1.000634975
95,2287,2312.452507,2264.125,1.021344894,0.988993284
96,3284,3125.753919,2281.416667,1.370093401,1.050626532
97,1931,1970.196568,2297.75,0.857446009,0.98010525
98,1987,1954.170811,2314.666667,0.844255823,1.016799549
99,2203,2180.844076,2336.083333,0.933547209,1.010159334
100,2144,2207.650768,2351.291667,0.938909791,0.971168099
101,2371,2404.998407,2368.291667,1.015499248,0.985863439
102,2427,2394.121363,2384.375,1.004087596,1.01373307
103,2477,2515.671358,2396.916667,1.049544773,0.984627818
104,2435,2444.08376,2408,1.01498495,0.996283368
105,2371,2324.613858,2416.875,0.961826266,1.019954343
106,2365,2398.7454,2426.75,0.988460039,0.985932063
107,2562,2487.613156,2435.625,1.021344894,1.029902898
108,3395,3349.935452,2445.041667,1.370093401,1.013452363
109,2121,2101.207173,2450.541667,0.857446009,1.009419741
110,2063,2072.964641,2455.375,0.844255823,0.995193048
111,2340,2294.347858,2457.666667,0.933547209,1.019897655
112,2244,2308.153236,2458.333333,0.938909791,0.972205816
113,2484,2502.697897,2464.5,1.015499248,0.992528904
114,2540,2485.200475,2475.083333,1.004087596,1.022050344
115,2496,2605.057588,2482.083333,1.049544773,0.958136208
116,2532,2521.899273,2484.666667,1.01498495,1.004005206
117,2329,2393.705044,2488.708333,0.961826266,0.972968664
118,2423,2464.395621,2493.166667,0.988460039,0.983202526
119,2652,2553.489902,2500.125,1.021344894,1.038578613
120,3559,3428.77291,2502.583333,1.370093401,1.037980669
121,2125,2147.47353,2504.5,0.857446009,0.989534898
122,2121,2120.20779,2511.333333,0.844255823,1.000373648
123,2379,2346.743195,2513.791667,0.933547209,1.013745349
124,2312,2359.167335,2512.666667,0.938909791,0.980006787
125,2583,2549.791675,2510.875,1.015499248,1.013023937
126,2500,2517.498626,2507.25,1.004087596,0.993049201
127,2582,2629.590697,2505.458333,1.049544773,0.981901861
128,2610,2540.718786,2503.208333,1.01498495,1.027268352
129,2310,2401.399655,2496.708333,0.961826266,0.961939007
130,2415,2465.466452,2494.25,0.988460039,0.979530668
131,2617,2549.276854,2496,1.021344894,1.02656563
132,3507,3417.24129,2494.166667,1.370093401,1.026266424
133,2134,2138.363167,2493.875,0.857446009,0.997959576
134,2058,2109.337996,2498.458333,0.844255823,0.97566156
135,2286,2341.375299,2508.041667,0.933547209,0.976349243
136,2346,2370.708101,2524.958333,0.938909791,0.989577755
137,2591,2576.78703,2537.458333,1.015499248,1.005515772
138,2448,2557.327434,2546.916667,1.004087596,0.957249341
139,2627,2687.971625,2561.083333,1.049544773,0.977316864
140,2675,2614.051449,2575.458333,1.01498495,1.023315743
141,2475,2489.086149,2587.875,0.961826266,0.994340835
142,2656,2572.261322,2602.291667,0.988460039,1.032554499
143,2676,2671.923354,2616.083333,1.021344894,1.001525735
144,3675,3602.60351,2629.458333,1.370093401,1.020095603
145,2306,2271.338752,2648.958333,0.857446009,1.015260272
146,2231,2244.102332,2658.083333,0.844255823,0.994161438
147,2411,2486.114014,2663.083333,0.933547209,0.969786577
148,2567,2509.97972,2673.291667,0.938909791,1.022717426
