t,Observations,Fit,Trend,Seasonal,Random
1,24057,NA,NA,0.88457305,NA
2,25040,NA,NA,0.916142505,NA
3,28018,NA,NA,1.079247915,NA
4,27981,NA,NA,1.022269651,NA
5,28924,NA,NA,1.07437604,NA
6,30591,NA,NA,1.069271048,NA
7,29933,29792.36289,27889.45833,1.068230244,1.004720576
8,28052,30498.1842,28009,1.08887087,0.919792464
9,28950,27524.30473,28191.66667,0.976327688,1.051797685
10,29431,27862.45033,28519.41667,0.976964243,1.056296186
11,26171,26015.10922,28872.29167,0.901040677,1.005992317
12,26653,27522.58395,29195.91667,0.94268607,0.968404713
13,25802,26125.64388,29534.75,0.88457305,0.987612023
14,26164,27428.04689,29938.625,0.916142505,0.953914076
15,31278,32716.5911,30314.25,1.079247915,0.956028698
16,32587,31272.71943,30591.45833,1.022269651,1.042026424
17,32787,33252.2518,30950.29167,1.07437604,0.986008412
18,34495,33578.67513,31403.33333,1.069271048,1.027288893
19,34161,33965.40434,31795.95833,1.068230244,1.005758673
20,33517,35068.71968,32206.5,1.08887087,0.955752029
21,32500,32024.15836,32800.625,0.976327688,1.014858833
22,32534,32617.74237,33386.83333,0.976964243,0.997432613
23,31680,30484.08326,33832.08333,0.901040677,1.039230858
24,32017,32289.74741,34252.91667,0.94268607,0.991553127
25,29861,30566.27431,34554.83333,0.88457305,0.97692639
26,31958,31933.6739,34856.66667,0.916142505,1.00076177
27,39743,38064.12961,35269.125,1.079247915,1.044106365
28,38191,36437.99241,35644.20833,1.022269651,1.048109335
29,37869,38635.90537,35961.25,1.07437604,0.980150449
30,39513,38713.89389,36205.875,1.069271048,1.020641326
31,36389,38911.97801,36426.58333,1.068230244,0.935161918
32,38533,39862.01999,36608.58333,1.08887087,0.966659492
33,37383,35867.30959,36736.95833,0.976327688,1.042258269
34,36653,35954.52303,36802.29167,0.976964243,1.019426679
35,35170,33324.68908,36984.66667,0.901040677,1.055373688
36,34398,35213.7632,37354.70833,0.94268607,0.976833967
37,32777,33322.82507,37671.08333,0.88457305,0.983620084
38,33410,34787.26694,37971.45833,0.916142505,0.960408878
39,41372,41234.95999,38207.125,1.079247915,1.003323394
40,38130,39218.94921,38364.58333,1.022269651,0.972234105
41,42307,41406.76594,38540.29167,1.07437604,1.021741231
42,43956,41351.51824,38672.625,1.069271048,1.062983945
43,39539,41523.22234,38871.04167,1.068230244,0.952214153
44,42592,42793.12426,39300.45833,1.08887087,0.99530008
45,38980,38781.89182,39722.20833,0.976327688,1.005108265
46,38835,39135.31507,40058.08333,0.976964243,0.992326238
47,37205,36426.2588,40426.875,0.901040677,1.021378567
48,35539,38264.02038,40590.41667,0.94268607,0.928783741
49,36398,36052.47008,40756.91667,0.88457305,1.009584085
50,40095,37557.68187,40995.45833,0.916142505,1.0675579
51,44809,44410.37716,41149.375,1.079247915,1.008975894
52,42754,42358.63747,41435.875,1.022269651,1.009333693
53,46534,44780.62007,41680.58333,1.07437604,1.039154883
54,43654,44692.81206,41797.45833,1.069271048,0.976756619
55,43837,44830.24062,41966.83333,1.068230244,0.977844406
56,44019,45806.75588,42068.125,1.08887087,0.960971786
57,41247,41113.93186,42110.79167,0.976327688,1.003236571
58,43444,41239.69605,42212.08333,0.976964243,1.053451023
59,38469,38050.49725,42229.5,0.901040677,1.010998614
60,37080,39833.51413,42255.33333,0.94268607,0.930874436
61,38922,37516.3279,42411.79167,0.88457305,1.037468275
62,40002,39019.53993,42591.125,0.916142505,1.025178669
63,45926,46167.12296,42777.125,1.079247915,0.994777172
64,44068,43862.6091,42907.08333,1.022269651,1.004682596
65,45638,46141.58592,42947.33333,1.07437604,0.989086073
66,45170,46088.38898,43102.625,1.069271048,0.980073311
67,46076,46235.54202,43282.375,1.068230244,0.996549364
68,46084,47165.75746,43316.20833,1.08887087,0.977064771
69,43646,42345.24379,43371.95833,0.976327688,1.030717882
70,44164,42551.67762,43555,0.976964243,1.037890924
71,38715,39484.01542,43820.45833,0.901040677,0.980523373
72,40561,41677.17241,44211.08333,0.94268607,0.973218615
73,39755,39335.04695,44467.83333,0.88457305,1.010676307
74,39981,40699.89797,44425.29167,0.916142505,0.982336615
75,47285,47934.21154,44414.45833,1.079247915,0.986456197
76,47102,45549.69478,44557.41667,1.022269651,1.034079377
77,48975,48128.95776,44797.125,1.07437604,1.017578653
78,51208,48194.18465,45072,1.069271048,1.062534834
79,46200,48399.24238,45307.875,1.068230244,0.954560397
80,44939,49675.01501,45620.66667,1.08887087,0.904660018
81,44531,45019.93417,46111.5,0.976327688,0.989139607
82,46710,45461.11784,46533.04167,0.976964243,1.027471435
83,41922,42223.77977,46861.125,0.901040677,0.992852848
84,43951,44476.24302,47180.33333,0.94268607,0.988190481
85,42026,42146.80982,47646.5,0.88457305,0.997133595
86,45217,44355.30657,48415.29167,0.916142505,1.019427065
87,53829,53046.65388,49151.5,1.079247915,1.014748265
88,50675,50660.23374,49556.625,1.022269651,1.000291476
89,53276,53621.07855,49909.04167,1.07437604,0.993564498
90,54568,53818.46126,50331.91667,1.069271048,1.013927168
91,54028,54183.57562,50722.75,1.068230244,0.997128731
92,55562,55834.03161,51277,1.08887087,0.995127853
93,51577,50626.41456,51853.91667,0.976327688,1.018776472
94,49387,50926.7443,52127.54167,0.976964243,0.969765507
95,47703,47164.93667,52344.95833,0.901040677,1.011408122
96,48319,49614.94263,52631.45833,0.94268607,0.973879993
97,47038,46615.12001,52697.875,0.88457305,1.009071735
98,53507,48289.90959,52710.04167,0.916142505,1.108036864
99,59385,56972.59805,52789.16667,1.079247915,1.042343197
100,51686,54045.05374,52867.70833,1.022269651,0.956350238
101,57483,56804.36522,52871.95833,1.07437604,1.011946877
102,57237,56313.20427,52665.04167,1.069271048,1.016404602
103,52953,56104.60968,52521.08333,1.068230244,0.94382619
104,56929,57006.97239,52354.20833,1.08887087,0.998632231
105,52109,50830.71113,52063.16667,0.976327688,1.025147964
106,50740,50779.30412,51976.625,0.976964243,0.999225982
107,46452,46881.74709,52030.66667,0.901040677,0.990833381
108,44604,49065.74943,52048.875,0.94268607,0.909065907
109,47298,46074.83016,52087.08333,0.88457305,1.026547463
110,49242,47808.17132,52184.20833,0.916142505,1.029991289
111,56665,56218.24872,52090.20833,1.079247915,1.007946731
112,52329,53751.279,52580.33333,1.022269651,0.973539625
113,58137,57451.94538,53474.70833,1.07437604,1.011923959
114,57020,57661.95604,53926.41667,1.069271048,0.988866905
115,54087,57848.98516,54154.04167,1.068230244,0.934968865
116,58126,59023.33439,54206,1.08887087,0.984796955
117,48656,52867.73749,54149.58333,0.976327688,0.920334448
118,65956,52941.04104,54189.33333,0.976964243,1.245838743
119,52701,48836.29204,54199.875,0.901040677,1.079135983
120,49196,50934.27106,54031,0.94268607,0.96587227
121,48169,47975.0405,54235.25,0.88457305,1.004042925
122,49618,50148.68638,54738.95833,0.916142505,0.989417741
123,54935,59457.92612,55092,1.079247915,0.923930644
124,55013,55858.34713,54641.5,1.022269651,0.984866234
125,55706,57867.14695,53861.16667,1.07437604,0.9626533
126,55398,57455.00754,53732.875,1.069271048,0.964197942
127,60611,57527.00276,53852.625,1.068230244,1.053609559
128,63691,58591.46098,53809.375,1.08887087,1.087035533
129,51564,52496.93637,53769.79167,0.976327688,0.982228746
130,52236,52603.09282,53843.41667,0.976964243,0.993021459
131,47693,48685.18001,54032.16667,0.901040677,0.979620492
132,51125,51190.52456,54302.83333,0.94268607,0.998719987
133,49114,48165.29742,54450.33333,0.88457305,1.019696807
134,47635,49828.11285,54389.04167,0.916142505,0.955986436
135,55968,58764.28449,54449.29167,1.079247915,0.952415238
136,55747,55858.21935,54641.375,1.022269651,0.998008899
137,59502,58782.29151,54712.95833,1.07437604,1.012243628
138,58098,58639.93807,54841.04167,1.069271048,0.990758209
139,61451,58626.12266,54881.54167,1.068230244,1.048184618
140,61380,59837.03852,54953.29167,1.08887087,1.02578606
141,55321,53963.25852,55271.66667,0.976327688,1.02516048
142,53089,54182.39623,55459.95833,0.976964243,0.979820084
143,48558,49959.36416,55446.29167,0.901040677,0.97194992
144,53334,52229.32533,55404.79167,0.94268607,1.021150468
145,47877,48957.17459,55345.54167,0.88457305,0.977936337
146,50594,50600.34464,55231.95833,0.916142505,0.999874613
147,60650,59632.17969,55253.45833,1.079247915,1.017068306
148,55584,56598.51295,55365.54167,1.022269651,0.982075272
149,59337,59581.76158,55457.08333,1.07437604,0.995892005
150,57267,59574.57007,55715.125,1.069271048,0.961265854
151,60860,59688.56666,55876.125,1.068230244,1.019625758
152,59245,60849.2801,55882.91667,1.08887087,0.973635184
153,57972,54605.64145,55929.625,0.976327688,1.061648549
154,53128,54793.44666,56085.41667,0.976964243,0.969605003
155,50716,50651.25076,56214.16667,0.901040677,1.001278334
156,57369,53324.53015,56566.58333,0.94268607,1.075846329
157,47706,50652.49569,57262.08333,0.88457305,0.94182921
158,50928,52904.32852,57746.83333,0.916142505,0.962643349
159,61437,62252.54866,57681.41667,1.079247915,0.986899353
160,58536,58539.9308,57264.66667,1.022269651,0.999932853
161,59475,61248.20835,57008.16667,1.07437604,0.971048813
162,65587,60839.65138,56898.25,1.069271048,1.078030503
163,69232,60836.95868,56951.16667,1.068230244,1.137992456
164,62507,62162.50374,57088.95833,1.08887087,1.005541866
165,53140,55813.56221,57166.83333,0.976327688,0.952098341
166,47958,55842.21777,57158.91667,0.976964243,0.858812596
167,49730,51497.74094,57153.625,0.901040677,0.965673428
168,55717,53737.97655,57005.16667,0.94268607,1.036827279
169,50628,49968.79444,56489.16667,0.88457305,1.013192345
170,51313,51526.67923,56243.08333,0.916142505,0.995853037
171,62921,60880.86953,56410.45833,1.079247915,1.033510206
172,56862,58014.39901,56750.58333,1.022269651,0.980135983
173,61022,61307.16474,57063.04167,1.07437604,0.99534859
174,60477,61099.57335,57141.33333,1.069271048,0.989810512
175,61958,61048.86886,57149.54167,1.068230244,1.014891859
176,63875,62325.92511,57239.04167,1.08887087,1.024854423
177,55789,55981.73465,57339.08333,0.976327688,0.996557187
178,53472,56072.74063,57394.875,0.976964243,0.95361845
179,51715,51829.73688,57522.08333,0.901040677,0.997786273
180,55611,54260.49958,57559.45833,0.94268607,1.0248892
181,50931,50770.58619,57395.58333,0.88457305,1.003159582
182,53158,52490.19393,57294.79167,0.916142505,1.012722492
183,63477,61841.98476,57301,1.079247915,1.026438596
184,57645,58695.61395,57416.95833,1.022269651,0.98210064
185,63292,61791.35021,57513.70833,1.07437604,1.024285758
186,59104,61378.16301,57401.875,1.069271048,0.962948337
187,59398,61166.68575,57259.83333,1.068230244,0.971084166
188,64016,62219.35187,57141.16667,1.08887087,1.028876034
189,55797,55460.66043,56805.375,0.976327688,1.006064471
190,56247,55083.52362,56382.33333,0.976964243,1.02112204
191,51262,50366.44682,55898.08333,0.901040677,1.01778075
192,53380,52010.89711,55173.08333,0.94268607,1.026323385
193,49753,48118.48876,54397.41667,0.88457305,1.033968466
194,51488,49013.70034,53500.08333,0.916142505,1.050481797
195,57088,56670.18379,52508.95833,1.079247915,1.00737277
196,53881,52479.70334,51336.45833,1.022269651,1.026701688
197,55434,53660.91999,49946.125,1.07437604,1.033042296
198,49562,52022.0859,48651.91667,1.069271048,0.952710741
199,50324,50723.84492,47484,1.068230244,0.99211722
200,51554,50364.13416,46253.54167,1.08887087,1.023625261
201,44472,43842.80843,44905.83333,0.976327688,1.014351078
202,39432,42626.29326,43631.375,0.976964243,0.925062842
203,34709,38239.49053,42439.25,0.901040677,0.907674227
204,38872,39171.23788,41552.79167,0.94268607,0.992360775
205,36231,36332.99031,41074.04167,0.88457305,0.997192901
206,35479,37401.82313,40825.33333,0.916142505,0.948590123
207,40752,43670.23794,40463.58333,1.079247915,0.933175589
208,39630,41087.99889,40192.91667,1.022269651,0.964515213
209,41074,43314.76826,40316.20833,1.07437604,0.9482678
210,42647,43354.61934,40545.95833,1.069271048,0.98367834
211,45749,43494.19616,40716.125,1.068230244,1.051841488
212,50160,44438.36278,40811.41667,1.08887087,1.128754456
213,37184,40273.151,41249.625,0.976327688,0.923295026
214,40224,40956.37642,41922.08333,0.976964243,0.982118134
215,36876,38304.74089,42511.66667,0.901040677,0.962700677
216,42219,40503.41041,42965.95833,0.94268607,1.04235667
217,36968,38284.43217,43280.125,0.88457305,0.965614426
218,37029,39726.84011,43363.16667,0.916142505,0.932090242
219,49719,47093.25257,43635.25,1.079247915,1.055756341
220,46802,45163.06388,44179.20833,1.022269651,1.036289303
221,48052,47987.90114,44665.83333,1.07437604,1.00133573
222,46572,48391.77703,45256.79167,1.069271048,0.962394912
223,49364,48976.44279,45848.20833,1.068230244,1.007913135
224,48538,50655.45249,46521.08333,1.08887087,0.958198923
225,45336,46059.56044,47176.33333,0.976327688,0.984290765
226,45127,46558.04515,47655.83333,0.976964243,0.969263204
227,43652,43259.48849,48010.58333,0.901040677,1.00907342
228,49626,NA,NA,0.94268607,NA
229,43755,NA,NA,NA,NA
230,46391,NA,NA,NA,NA
231,56083,NA,NA,NA,NA
232,51946,NA,NA,NA,NA
233,51422,NA,NA,NA,NA
