t,Observations,Fit,Trend,Seasonal,Random
1,1207,NA,NA,0.754872033,NA
2,1266,NA,NA,0.837550672,NA
3,1464,NA,NA,1.007992668,NA
4,1676,NA,NA,1.030203894,NA
5,1562,NA,NA,1.030331521,NA
6,1499,NA,NA,0.965729097,NA
7,1450,1522.829501,1551.125,0.981758079,0.952174882
8,1839,1899.653531,1545.416667,1.229217707,0.968071267
9,1579,1446.79983,1540.083333,0.939429574,1.091374195
10,1530,1447.620408,1538.875,0.940700452,1.056906902
11,1517,1518.411176,1540.916667,0.985394739,0.999070623
12,2041,2004.829012,1545.958333,1.296819564,1.018041931
13,1174,1172.096097,1552.708333,0.754872033,1.001624358
14,1162,1305.811294,1559.083333,0.837550672,0.889868241
15,1440,1577.382526,1564.875,1.007992668,0.91290475
16,1671,1615.359705,1568,1.030203894,1.034444523
17,1616,1619.251846,1571.583333,1.030331521,0.99799176
18,1566,1526.938419,1581.125,0.965729097,1.025581635
19,1545,1558.622764,1587.583333,0.981758079,0.991259743
20,1897,1956.351198,1591.541667,1.229217707,0.969662299
21,1660,1508.567325,1605.833333,0.939429574,1.100381781
22,1524,1519.348817,1615.125,0.940700452,1.0030613
23,1609,1590.673457,1614.25,0.985394739,1.011521248
24,2178,2097.713714,1617.583333,1.296819564,1.038273233
25,1192,1225.314575,1623.208333,0.754872033,0.97281141
26,1239,1365.347188,1630.166667,0.837550672,0.907461495
27,1706,1649.118004,1636.041667,1.007992668,1.034492374
28,1628,1690.865065,1641.291667,1.030203894,0.962820767
29,1638,1698.200998,1648.208333,1.030331521,0.964550134
30,1624,1599.287624,1656.041667,0.965729097,1.015452115
31,1622,1629.268439,1659.541667,0.981758079,0.995538833
32,1987,2036.660088,1656.875,1.229217707,0.975616899
33,1711,1552.563943,1652.666667,0.939429574,1.102048007
34,1599,1559.877328,1658.208333,0.940700452,1.025080608
35,1700,1646.430376,1670.833333,0.985394739,1.032536829
36,2275,2180.11579,1681.125,1.296819564,1.043522555
37,1179,1274.066727,1687.791667,0.754872033,0.925383243
38,1188,1416.856554,1691.666667,0.837550672,0.838475847
39,1656,1708.75757,1695.208333,1.007992668,0.969125187
40,1811,1745.895123,1694.708333,1.030203894,1.037290256
41,1758,1747.613981,1696.166667,1.030331521,1.005942971
42,1751,1639.486097,1697.666667,0.965729097,1.068017596
43,1655,1667.96607,1698.958333,0.981758079,0.992226419
44,2047,2103.447584,1711.208333,1.229217707,0.973164255
45,1736,1620.43773,1724.916667,0.939429574,1.071315465
46,1562,1628.47007,1731.125,0.940700452,0.959182505
47,1772,1713.190869,1738.583333,0.985394739,1.03432725
48,2239,2262.517867,1744.666667,1.296819564,0.989605445
49,1246,1320.082468,1748.75,0.754872033,0.943880424
50,1415,1473.98449,1759.875,0.837550672,0.959982964
51,1758,1779.149058,1765.041667,1.007992668,0.988112824
52,1858,1819.941028,1766.583333,1.030203894,1.020912201
53,1890,1824.588332,1770.875,1.030331521,1.035850097
54,1765,1710.225754,1770.916667,0.965729097,1.032027495
55,1739,1739.757129,1772.083333,0.981758079,0.999564807
56,2230,2180.785864,1774.125,1.229217707,1.022567156
57,1677,1672.928357,1780.791667,0.939429574,1.002433842
58,1658,1673.231733,1778.708333,0.940700452,0.990896818
59,1779,1744.682443,1770.541667,0.985394739,1.019669801
60,2233,2296.343244,1770.75,1.296819564,0.972415603
