t,Observations,Fit,Trend,Seasonal,Random
1,790,NA,NA,1.474390035,NA
2,790,NA,NA,0.79556681,NA
3,790,NA,NA,0.775999543,NA
4,790,NA,NA,0.739335445,NA
5,553,NA,NA,0.833489506,NA
6,589,NA,NA,0.843501922,NA
7,593,627.4471291,767.7083333,0.817298838,0.945099551
8,895,1111.019648,767.1666667,1.448211577,0.805566311
9,863,838.5867357,750.0833333,1.117991426,1.02911239
10,647,585.7936971,733.625,0.798492005,1.1044844
11,642,612.2482618,727.5,0.841578367,1.048594239
12,1166,1107.218184,731.25,1.514144525,1.053089642
13,999,1080.912194,733.125,1.474390035,0.924219382
14,568,586.7305224,737.5,0.79556681,0.968076448
15,602,576.5676606,743,0.775999543,1.044109896
16,583,551.2977969,745.6666667,0.739335445,1.057504679
17,613,624.0405387,748.7083333,0.833489506,0.982307978
18,619,637.1602646,755.375,0.843501922,0.971498121
19,608,622.9860396,762.25,0.817298838,0.975944823
20,985,1111.381701,767.4166667,1.448211577,0.886284162
21,905,862.6701344,771.625,1.117991426,1.049068426
22,669,618.1326233,774.125,0.798492005,1.082292011
23,693,654.9232982,778.2083333,0.841578367,1.058139177
24,1275,1189.549792,785.625,1.514144525,1.071834074
25,1055,1169.252731,793.0416667,1.474390035,0.902285684
26,636,638.9395943,803.125,0.79556681,0.995399261
27,635,632.568961,815.1666667,0.775999543,1.003843121
28,610,608.2882375,822.75,0.739335445,1.002814065
29,684,690.7196992,828.7083333,0.833489506,0.990271453
30,726,706.5382978,837.625,0.843501922,1.027545148
31,679,697.8369916,853.8333333,0.817298838,0.973006602
32,1156,1256.926965,867.9166667,1.448211577,0.919703398
33,1023,977.0779237,873.9583333,1.117991426,1.0469994
34,733,702.5066118,879.7916667,0.798492005,1.04340655
35,772,746.7605375,887.3333333,0.841578367,1.033798602
36,1410,1355.159349,895,1.514144525,1.040468046
37,1309,1331.005604,902.75,1.474390035,0.983466933
38,720,724.6950667,910.9166667,0.79556681,0.993521321
39,696,712.4322473,918.0833333,0.775999543,0.976935004
40,689,681.6672804,922,0.739335445,1.010757036
41,786,771.7070961,925.875,0.833489506,1.018521151
42,808,785.7923326,931.5833333,0.843501922,1.028261497
43,783,765.6046869,936.75,0.817298838,1.022721012
44,1248,1362.887778,941.0833333,1.448211577,0.915702686
45,1103,1056.082651,944.625,1.117991426,1.04442583
46,747,757.9019947,949.1666667,0.798492005,0.985615561
47,851,803.3917484,954.625,0.841578367,1.059259075
48,1468,1451.749152,958.7916667,1.514144525,1.011193978
49,1375,1415.783031,960.25,1.474390035,0.97119401
50,758,767.8214175,965.125,0.79556681,0.987208722
51,743,750.6178915,967.2916667,0.775999543,0.989851173
52,751,717.9563285,971.0833333,0.739335445,1.046024626
53,855,816.646072,979.7916667,0.833489506,1.046965178
54,839,833.098732,987.6666667,0.843501922,1.007083516
55,787,817.9799208,1000.833333,0.817298838,0.962126306
56,1361,1464.5643,1011.291667,1.448211577,0.929286615
57,1042,1136.997281,1017,1.117991426,0.916448982
58,899,816.2251815,1022.208333,0.798492005,1.101411743
59,908,863.5295358,1026.083333,0.841578367,1.051498487
60,1600,1558.370163,1029.208333,1.514144525,1.026713703
61,1559,1522.369144,1032.541667,1.474390035,1.024061743
62,825,820.8923535,1031.833333,0.79556681,1.00500388
63,813,802.5451942,1034.208333,0.775999543,1.013027062
64,806,769.0628912,1040.208333,0.739335445,1.048028723
65,893,870.9965335,1045,0.833489506,1.025262404
