t,Observations,Fit,Trend,Seasonal,Random
1,7650,NA,NA,0.815372864,NA
2,7580,NA,NA,0.802244806,NA
3,8732,NA,NA,0.977896164,NA
4,9345,NA,NA,1.056192738,NA
5,9746,NA,NA,1.1287855,NA
6,10195,NA,NA,1.114179123,NA
7,9998,9932.949034,9212.416667,1.078213176,1.006549008
8,9759,9874.602177,9232.083333,1.0695963,0.988292979
9,9828,9491.469279,9276.041667,1.023224088,1.035456125
10,10035,9843.575717,9338.875,1.054042989,1.019446621
11,8849,9096.011985,9416.166667,0.965999467,0.972843925
12,8778,8682.811059,9497.166667,0.914252783,1.010962917
13,7758,7802.812546,9569.625,0.815372864,0.994256873
14,7944,7743.835124,9652.708333,0.802244806,1.025848287
15,9423,9517.863367,9733,0.977896164,0.990033124
16,10162,10344.13164,9793.791667,1.056192738,0.982392757
17,10784,11160.8196,9887.458333,1.1287855,0.966237282
18,11101,11143.64819,10001.66667,1.114179123,0.99617287
19,10831,10866.32224,10078.08333,1.078213176,0.996749384
20,10920,10833.09416,10128.20833,1.0695963,1.008022254
21,10594,10441.44758,10204.45833,1.023224088,1.014610275
22,10728,10863.27447,10306.29167,1.054042989,0.987547542
23,10404,10062.0517,10416.20833,0.965999467,1.033983953
24,9964,9630.929289,10534.20833,0.914252783,1.034583445
25,8406,8670.878881,10634.25,0.815372864,0.969451899
26,8499,8626.73896,10753.25,0.802244806,0.985192671
27,10698,10653.3638,10894.16667,0.977896164,1.004189869
28,11331,11643.55676,11024.08333,1.056192738,0.973156247
29,12253,12571.98961,11137.625,1.1287855,0.974626959
30,12464,12512.88149,11230.58333,1.114179123,0.996093507
31,11869,12216.82917,11330.625,1.078213176,0.971528687
32,12738,12223.97045,11428.58333,1.0695963,1.042050948
33,12158,11769.59244,11502.45833,1.023224088,1.033000935
34,12282,12161.94327,11538.375,1.054042989,1.009871509
35,11575,11180.03509,11573.54167,0.965999467,1.035327699
36,11024,10630.43614,11627.45833,0.914252783,1.037022362
37,9747,9508.606552,11661.66667,0.815372864,1.025071334
38,9509,9370.386468,11680.20833,0.802244806,1.014792723
39,11461,11432.91002,11691.33333,0.977896164,1.00245694
40,11430,12374.53015,11716.16667,1.056192738,0.923671433
41,12998,13262.99446,11749.79167,1.1287855,0.980020013
42,13013,13108.68877,11765.33333,1.114179123,0.992700355
43,12141,12702.78883,11781.33333,1.078213176,0.955774371
44,12911,12644.4555,11821.70833,1.0695963,1.021079951
45,12252,12120.25987,11845.16667,1.023224088,1.010869415
46,12784,12540.12511,11897.16667,1.054042989,1.019447564
47,11880,11584.38636,11992.125,0.965999467,1.025518282
48,11092,11019.98402,12053.54167,0.914252783,1.006535035
49,10063,9905.693136,12148.66667,0.815372864,1.01588045
50,10162,9833.849978,12257.91667,0.802244806,1.033369435
51,11371,12052.48873,12324.91667,0.977896164,0.943456596
52,12768,13106.82378,12409.5,1.056192738,0.974149055
53,13939,14100.88253,12492.08333,1.1287855,0.988519688
54,13546,13969.25287,12537.70833,1.114179123,0.969701109
55,13891,13569.04327,12584.75,1.078213176,1.023727298
56,13783,13519.29614,12639.625,1.0695963,1.019505739
57,12988,13010.25165,12714.95833,1.023224088,0.998289683
58,14078,13514.14867,12821.25,1.054042989,1.041723037
59,12568,12480.55212,12919.83333,0.965999467,1.007006732
60,11499,11896.60006,13012.375,0.914252783,0.966578681
61,10785,10689.26646,13109.66667,0.815372864,1.008956044
62,10757,10569.50846,13174.91667,0.802244806,1.017738908
63,12584,12963.39901,13256.41667,0.977896164,0.970733061
64,14106,14110.11887,13359.41667,1.056192738,0.999708091
65,14967,15135.41444,13408.58333,1.1287855,0.988872822
66,14739,15008.92127,13470.83333,1.114179123,0.982015945
67,15033,14608.6654,13548.95833,1.078213176,1.029046774
68,14207,14545.26182,13598.83333,1.0695963,0.976744192
69,14520,13976.6868,13659.45833,1.023224088,1.038872818
70,15018,14467.92582,13726.125,1.054042989,1.038020252
71,12808,13303.34217,13771.58333,0.965999467,0.962765585
72,12753,12656.45841,13843.5,0.914252783,1.007627852
73,11406,11362.96829,13935.91667,0.815372864,1.003787013
74,11333,11237.71153,14007.83333,0.802244806,1.008479348
75,13463,13761.72899,14072.79167,0.977896164,0.978292772
76,14827,14924.39946,14130.375,1.056192738,0.99347381
77,15337,16041.12371,14210.95833,1.1287855,0.956105088
78,16095,15950.44905,14315.875,1.114179123,1.0090625
