t,Observations,Fit,Trend,Seasonal,Random
1,732,NA,NA,0.862800017,NA
2,734,NA,NA,0.866894999,NA
3,854,NA,NA,1.000550796,NA
4,903,NA,NA,0.991737194,NA
5,859,NA,NA,1.011985202,NA
6,954,NA,NA,1.046023394,NA
7,909,923.1590447,891.0833333,1.035996309,0.984662399
8,921,966.9496939,898.375,1.076331926,0.952479747
9,919,939.6841321,904.2083333,1.039234098,0.977988208
10,982,973.355635,909.75,1.06991551,1.008880993
11,944,935.3188787,915.7916667,1.021322767,1.009281456
12,932,899.1125994,920.0833333,0.977207789,1.036577622
13,832,797.2631654,924.0416667,0.862800017,1.043570098
14,809,806.9347613,930.8333333,0.866894999,1.002559363
15,919,939.3921285,938.875,1.000550796,0.978292209
16,971,937.811484,945.625,0.991737194,1.035389326
17,936,962.3557611,950.9583333,1.011985202,0.972613287
18,980,1000.259871,956.25,1.046023394,0.979745393
19,978,991.4484681,957,1.035996309,0.986435535
20,1015,1029.556334,956.5416667,1.076331926,0.985861547
21,1018,999.9597098,962.2083333,1.039234098,1.018041017
22,1045,1035.856533,968.1666667,1.06991551,1.008826963
23,1009,996.0450282,975.25,1.021322767,1.013006412
24,994,964.0969173,986.5833333,0.977207789,1.031016677
25,788,860.1397166,996.9166667,0.862800017,0.916130234
26,842,874.48033,1008.75,0.866894999,0.962857564
27,1022,1021.520673,1020.958333,1.000550796,1.000469229
28,1011,1024.340554,1032.875,0.991737194,0.986976446
29,1066,1059.717171,1047.166667,1.011985202,1.005928779
30,1122,1109.830821,1061,1.046023394,1.010964895
31,1084,1114.257197,1075.541667,1.035996309,0.97284541
32,1193,1172.439397,1089.291667,1.076331926,1.017536602
33,1133,1143.374015,1100.208333,1.039234098,0.99092684
34,1216,1186.224242,1108.708333,1.06991551,1.02510129
35,1181,1140.051538,1116.25,1.021322767,1.035918079
36,1154,1097.078611,1122.666667,0.977207789,1.051884513
37,977,972.1599187,1126.75,0.862800017,1.004978688
38,983,979.6274692,1130.041667,0.866894999,1.003442667
39,1143,1134.666292,1134.041667,1.000550796,1.007344633
40,1094,1127.729157,1137.125,0.991737194,0.970091084
41,1164,1154.084791,1140.416667,1.011985202,1.008591404
42,1178,1197.13019,1144.458333,1.046023394,0.984019958
43,1126,1189.928094,1148.583333,1.035996309,0.946275666
44,1230,1240.38285,1152.416667,1.076331926,0.991629318
45,1192,1198.583327,1153.333333,1.039234098,0.99450741
46,1231,1239.764597,1158.75,1.06991551,0.992930435
47,1245,1192.649661,1167.75,1.021322767,1.043894147
48,1187,1145.979717,1172.708333,0.977207789,1.035794947
49,1043,1019.68582,1181.833333,0.862800017,1.022864082
50,1009,1034.60306,1193.458333,0.866894999,0.975253253
51,1139,1200.452507,1199.791667,1.000550796,0.948808881
52,1228,1198.101175,1208.083333,0.991737194,1.024955175
53,1246,1230.827002,1216.25,1.011985202,1.012327482
54,1215,1277.412486,1221.208333,1.046023394,0.951141478
55,1308,1273.41213,1229.166667,1.035996309,1.027161568
56,1327,1333.978881,1239.375,1.076331926,0.994768372
57,1247,1300.298364,1251.208333,1.039234098,0.959010666
58,1375,1351.392448,1263.083333,1.06991551,1.017469057
59,1297,1299.37789,1272.25,1.021322767,0.998169978
60,1254,1253.431857,1282.666667,0.977207789,1.00045327
61,1167,1114.737621,1292,0.862800017,1.046883121
62,1130,1123.821004,1296.375,0.866894999,1.005498203
63,1302,1307.136236,1306.416667,1.000550796,0.99607062
64,1350,1310.084833,1321,0.991737194,1.03046762
65,1344,1345.982485,1330.041667,1.011985202,0.99852711
66,1367,1398.969121,1337.416667,1.046023394,0.977148087
67,1380,1389.53005,1341.25,1.035996309,0.99314153
68,1360,1445.513776,1343,1.076331926,0.94084195
69,1455,1400.541153,1347.666667,1.039234098,1.038884146
70,1517,1447.595685,1353,1.06991551,1.047944544
71,1372,1385.892439,1356.958333,1.021322767,0.989975817
72,1356,1331.282744,1362.333333,0.977207789,1.018566496
73,1157,1182.036023,1370,0.862800017,0.978819577
74,1182,1195.086997,1378.583333,0.866894999,0.989049335
75,1362,1386.471576,1385.708333,1.000550796,0.982349746
76,1418,1378.927923,1390.416667,0.991737194,1.028335112
77,1371,1415.261305,1398.5,1.011985202,0.968725701
78,1469,1475.721088,1410.791667,1.046023394,0.995445557
79,1462,1469.99243,1418.916667,1.035996309,0.994562945
80,1484,1533.36937,1424.625,1.076331926,0.967803342
81,1502,1492.859782,1436.5,1.039234098,1.006122623
82,1583,1552.759463,1451.291667,1.06991551,1.019475352
83,1500,1493.939877,1462.75,1.021322767,1.004056471
84,1523,1438.775601,1472.333333,0.977207789,1.058538941
