t,Observations,Fit,Trend,Seasonal,Random
1,4858,NA,NA,0.746769949,NA
2,5166,NA,NA,0.780788625,NA
3,6029,NA,NA,0.96029625,NA
4,6687,NA,NA,0.961210075,NA
5,6775,NA,NA,0.983514611,NA
6,6542,NA,NA,0.934813464,NA
7,6559,6678.938642,7146.125,0.93462382,0.98204226
8,7492,7421.595449,7175.833333,1.034248582,1.009486444
9,6884,6755.048433,7194.583333,0.938907525,1.019089658
10,7522,7260.060112,7226.083333,1.004701963,1.036079576
11,8211,8211.294462,7259.083333,1.13117512,0.999964139
12,12734,11570.80022,7282.041667,1.588950016,1.100528897
13,5447,5454.843327,7304.583333,0.746769949,0.998562135
14,5290,5711.598922,7315.166667,0.780788625,0.926185482
15,6355,7029.528597,7320.166667,0.96029625,0.904043552
16,7117,7045.749953,7330.083333,0.961210075,1.010112486
17,7137,7222.357585,7343.416667,0.983514611,0.988181479
18,6731,6874.501361,7353.875,0.934813464,0.979125561
19,6911,6859.009498,7338.791667,0.93462382,1.007579885
20,7394,7582.722759,7331.625,1.034248582,0.975111478
21,7102,6918.535706,7368.708333,0.938907525,1.026517792
22,7542,7430.691995,7395.916667,1.004701963,1.014979494
23,8511,8352.832749,7384.208333,1.13117512,1.018935762
24,12685,11735.71999,7385.833333,1.588950016,1.080888093
25,5134,5520.341274,7392.291667,0.746769949,0.930014966
26,5431,5781.934964,7405.25,0.780788625,0.939304927
27,7104,7129.79953,7424.583333,0.96029625,0.996381451
28,7021,7147.317818,7435.75,0.961210075,0.982326542
29,6952,7333.371797,7456.291667,0.983514611,0.947995028
30,6955,7006.816417,7495.416667,0.934813464,0.992604856
31,6842,7037.912074,7530.208333,0.93462382,0.972163325
32,7774,7798.9669,7540.708333,1.034248582,0.996798691
33,7186,7075.880959,7536.291667,0.938907525,1.015562591
34,7726,7568.084989,7532.666667,1.004701963,1.020865914
35,8820,8535.423267,7545.625,1.13117512,1.03334067
36,13315,12015.04416,7561.625,1.588950016,1.108194012
37,5339,5650.24813,7566.25,0.746769949,0.944914255
38,5478,5905.462231,7563.458333,0.780788625,0.927615788
39,6951,7276.844893,7577.708333,0.96029625,0.955221679
40,7087,7287.334086,7581.416667,0.961210075,0.972509277
41,7197,7451.721389,7576.625,0.983514611,0.965817108
42,7094,7081.874148,7575.708333,0.934813464,1.001712238
43,6814,7072.41527,7567.125,0.93462382,0.963461525
44,7735,7851.024079,7591.041667,1.034248582,0.98522179
45,7567,7159.639335,7625.5,0.938907525,1.056896814
46,7434,7679.98367,7644.041667,1.004701963,0.967970808
47,8997,8677.951332,7671.625,1.13117512,1.036765436
48,13116,12233.25997,7698.958333,1.588950016,1.072159019
49,5332,5761.361275,7715.041667,0.746769949,0.925475724
50,6059,6048.964673,7747.25,0.780788625,1.001659016
51,7197,7460.301489,7768.75,0.96029625,0.964706321
52,7286,7488.827748,7791.041667,0.961210075,0.972915955
53,7660,7692.27267,7821.208333,0.983514611,0.995804534
54,7287,7312.461469,7822.375,0.934813464,0.996518071
55,7007,7325.0363,7837.416667,0.93462382,0.95658229
56,8315,8119.023743,7850.166667,1.034248582,1.024137909
57,7503,7382.160418,7862.5,0.938907525,1.016369135
58,8033,7910.981396,7873.958333,1.004701963,1.015423953
59,9122,8911.020539,7877.666667,1.13117512,1.02367624
60,13019,12545.55485,7895.5,1.588950016,1.03773808
61,5790,5918.120734,7924.958333,0.746769949,0.978351112
62,5907,6221.616558,7968.375,0.780788625,0.949431702
63,7645,7684.250577,8001.958333,0.96029625,0.994892075
64,7113,7720.359224,8031.916667,0.961210075,0.921330186
65,7922,7933.397669,8066.375,0.983514611,0.998563331
66,7453,7588.8936,8118.083333,0.934813464,0.982093095
