t,Observations,Fit,Trend,Seasonal,Random
1,1650,NA,NA,0.707427621,NA
2,1865,NA,NA,0.751725551,NA
3,2152,NA,NA,0.933387627,NA
4,2438,NA,NA,0.926769412,NA
5,2412,NA,NA,0.952305111,NA
6,2518,NA,NA,0.919094105,NA
7,2655,2650.706089,2775.541667,0.955022986,1.001619912
8,3046,2962.595989,2793.166667,1.060658508,1.028152341
9,2688,2588.928047,2809.416667,0.921518007,1.038267558
10,2994,2859.160902,2830.666667,1.010066263,1.047160374
11,3400,3391.050769,2851,1.189425033,1.002639073
12,5341,4792.207434,2865.125,1.672599776,1.114517699
13,1945,2033.264889,2874.166667,0.707427621,0.956589577
14,1993,2164.468438,2879.333333,0.751725551,0.920780347
15,2414,2692.667738,2884.833333,0.933387627,0.89650868
16,2686,2681.954831,2893.875,0.926769412,1.001508291
17,2652,2771.644346,2910.458333,0.952305111,0.95683272
18,2617,2695.62642,2932.916667,0.919094105,0.970831856
19,2773,2812.303937,2944.75,0.955022986,0.986024293
20,3052,3131.55005,2952.458333,1.060658508,0.974597229
21,2814,2743.551089,2977.208333,0.921518007,1.025678002
22,3085,3031.671802,3001.458333,1.010066263,1.01759036
23,3707,3582.49864,3011.958333,1.189425033,1.034752661
24,5573,5065.050272,3028.25,1.672599776,1.100285229
25,1997,2155.70882,3047.25,0.707427621,0.926377432
26,2126,2306.293992,3068,0.751725551,0.921825235
27,2875,2883.778855,3089.583333,0.933387627,0.996955781
28,2807,2880.553793,3108.166667,0.926769412,0.974465399
29,2783,2979.762692,3129,0.952305111,0.933966992
30,2877,2902.843845,3158.375,0.919094105,0.99109706
31,2969,3041.589039,3184.833333,0.955022986,0.976134501
32,3354,3393.090761,3199.041667,1.060658508,0.988479306
33,3030,2954.425126,3206.041667,0.921518007,1.02558023
34,3315,3245.932108,3213.583333,1.010066263,1.021278292
35,3977,3838.671057,3227.333333,1.189425033,1.036035633
36,6008,5423.126008,3242.333333,1.672599776,1.107848129
37,2197,2300.259864,3251.583333,0.707427621,0.955109479
38,2267,2449.716962,3258.791667,0.751725551,0.925413031
39,2902,3058.28345,3276.541667,0.933387627,0.948898311
40,2961,3046.908902,3287.666667,0.926769412,0.971804572
41,2959,3142.408469,3299.791667,0.952305111,0.941634427
42,3061,3054.800737,3323.708333,0.919094105,1.002029351
43,3007,3187.110666,3337.208333,0.955022986,0.94348779
44,3489,3558.509294,3355,1.060658508,0.980466738
45,3321,3116.804279,3382.25,0.921518007,1.065514451
46,3291,3437.592182,3403.333333,1.010066263,0.957356145
47,4292,4074.375451,3425.5,1.189425033,1.053412984
48,6267,5758.34288,3442.75,1.672599776,1.088333941
49,2262,2443.808718,3454.5,0.707427621,0.925604358
50,2629,2614.062961,3477.416667,0.751725551,1.005714108
51,3194,3260.439653,3493.125,0.933387627,0.979622486
52,3175,3252.111096,3509.083333,0.926769412,0.976288911
53,3277,3358.343653,3526.541667,0.952305111,0.975778639
54,3157,3240.496042,3525.75,0.919094105,0.974233561
55,3193,3373.578904,3532.458333,0.955022986,0.946472601
56,3853,3753.228518,3538.583333,1.060658508,1.026582842
57,3334,3265.667833,3543.791667,0.921518007,1.020924408
58,3661,3587.039902,3551.291667,1.010066263,1.020618699
59,4341,4235.889458,3561.291667,1.189425033,1.024814279
60,6199,5992.785615,3582.916667,1.672599776,1.034410439
61,2491,2553.84319,3610.041667,0.707427621,0.975392698
62,2547,2737.283308,3641.333333,0.751725551,0.930484613
63,3401,3421.215672,3665.375,0.933387627,0.994091085
64,3148,3417.616667,3687.666667,0.926769412,0.92110974
65,3544,3538.408678,3715.625,0.952305111,1.00158018
66,3409,3447.636876,3751.125,0.919094105,0.988793229
67,3592,3612.93154,3783.083333,0.955022986,0.994206494
68,4205,4039.164374,3808.166667,1.060658508,1.041056914
69,3559,3527.993293,3828.458333,0.921518007,1.008788766
70,3971,3902.054318,3863.166667,1.010066263,1.017669073
71,4702,4645.745501,3905.875,1.189425033,1.012108821
72,6690,6583.979944,3936.375,1.672599776,1.016102731
73,2767,2809.548799,3971.5,0.707427621,0.984855647
74,2873,3010.378936,4004.625,0.751725551,0.954364903
75,3562,3759.918707,4028.25,0.933387627,0.947360908
76,3820,3760.289657,4057.416667,0.926769412,1.015879187
77,3897,3901.514681,4096.916667,0.952305111,0.998842839
78,3788,3813.244852,4148.916667,0.919094105,0.993379693
79,4056,4004.490964,4193.083333,0.955022986,1.012862817
80,4536,4477.437308,4221.375,1.060658508,1.013079511
81,3795,3925.551519,4259.875,0.921518007,0.966743139
82,4435,4339.581354,4296.333333,1.010066263,1.021987984
83,5186,5150.507749,4330.25,1.189425033,1.00689102
84,7454,7303.755381,4366.708333,1.672599776,1.020570872
85,3063,3113.212105,4400.75,0.707427621,0.983871287
86,3256,3333.652245,4434.666667,0.751725551,0.976706555
87,4103,4177.60967,4475.75,0.933387627,0.982140584
88,4154,4182.1242,4512.583333,0.926769412,0.99327514
89,4377,4322.43354,4538.916667,0.952305111,1.012624014
90,4183,4211.404078,4582.125,0.919094105,0.993255438
91,4478,4412.047023,4619.833333,0.955022986,1.014948385
92,4928,4925.786498,4644.083333,1.060658508,1.00044937
93,4389,4307.597526,4674.458333,0.921518007,1.018897419
94,4725,4752.193423,4704.833333,1.010066263,0.994277711
95,5528,5624.444066,4728.708333,1.189425033,0.982852694
96,8149,7947.288145,4751.458333,1.672599776,1.025381218
97,3273,3370.303093,4764.166667,0.707427621,0.971129275
98,3628,3588.142666,4773.208333,0.751725551,1.011108068
99,4460,4476.332602,4795.791667,0.933387627,0.996351343
100,4526,4460.811486,4813.291667,0.926769412,1.0146136
101,4578,4611.180386,4842.125,0.952305111,0.992804362
102,4528,4492.531987,4888,0.919094105,1.007894883
103,4438,4696.643873,4917.833333,0.955022986,0.944930065
104,5185,5229.090638,4930.041667,1.060658508,0.991568202
105,4674,4552.260557,4939.958333,0.921518007,1.026742635
106,4860,5004.120783,4954.25,1.010066263,0.971199579
107,6085,5913.424789,4971.666667,1.189425033,1.029014525
108,8693,8337.631118,4984.833333,1.672599776,1.042622284
109,3445,3536.725441,4999.416667,0.707427621,0.974064868
110,3749,3771.532379,5017.166667,0.751725551,0.99402567
111,4577,4682.494594,5016.666667,0.933387627,0.977470429
112,4752,4643.38506,5010.291667,0.926769412,1.023391327
113,4770,4768.032973,5006.833333,0.952305111,1.000412545
114,4652,4602.210551,5007.333333,0.919094105,1.010818594
115,4664,4794.255181,5020.041667,0.955022986,0.972830987
116,5385,5335.731012,5030.583333,1.060658508,1.009233784
117,4462,4658.158335,5054.875,0.921518007,0.957889294
118,4919,5124.992046,5073.916667,1.010066263,0.959806368
119,5943,6044.459781,5081.833333,1.189425033,0.983214417
120,8847,8535.834191,5103.333333,1.672599776,1.03645406
121,3596,3630.076411,5131.375,0.707427621,0.990612756
122,3851,3883.351555,5165.916667,0.751725551,0.991669167
123,5058,4848.870938,5194.916667,0.933387627,1.043129435
124,4728,4851.444792,5234.791667,0.926769412,0.974555045
125,4984,5036.821091,5289.083333,0.952305111,0.98951301
126,4954,4904.362738,5336.083333,0.919094105,1.010121042
127,5035,5130.423272,5372.041667,0.955022986,0.981400507
128,5843,5715.80031,5388.916667,1.060658508,1.022254047
129,4700,4969.247455,5392.458333,0.921518007,0.945817258
130,5638,5461.344111,5406.916667,1.010066263,1.032346595
131,6527,6470.769536,5440.25,1.189425033,1.008689919
132,9391,9145.07866,5467.583333,1.672599776,1.026891113
133,3915,3887.373732,5495.083333,0.707427621,1.007106666
134,3937,4149.399756,5519.833333,0.751725551,0.948811932
135,5057,5177.734512,5547.25,0.933387627,0.976681981
136,5076,5165.387931,5573.541667,0.926769412,0.982694827
137,5436,5320.608014,5587.083333,0.952305111,1.021687744
138,5158,5156.845548,5610.791667,0.919094105,1.000223868
139,5491,5386.727565,5640.416667,0.955022986,1.019357288
140,5981,6027.412941,5682.708333,1.060658508,0.992299691
141,5220,5283.485096,5733.458333,0.921518007,0.987984239
142,5749,5837.341278,5779.166667,1.010066263,0.984866179
143,6741,6912.640936,5811.75,1.189425033,0.975169991
144,9746,9749.514404,5828.958333,1.672599776,0.99963953
145,4271,4138.864252,5850.583333,0.707427621,1.031925606
146,4596,4413.599965,5871.291667,0.751725551,1.041326816
147,5616,5496.60306,5888.875,0.933387627,1.021721951
148,5614,5486.822455,5920.375,0.926769412,1.023178724
149,5680,5671.929241,5956,0.952305111,1.00142293
150,5327,5518.968625,6004.791667,0.919094105,0.965216576
151,5841,5772.517059,6044.375,0.955022986,1.011863619
152,6128,6431.347056,6063.541667,1.060658508,0.952833045
153,5495,5617.957735,6096.416667,0.921518007,0.978113446
154,6230,6193.305463,6131.583333,1.010066263,1.005924871
155,7115,7324.925388,6158.375,1.189425033,0.971340952
156,10543,10364.3342,6196.541667,1.672599776,1.017238521
157,4424,4410.988077,6235.25,0.707427621,1.002949889
158,4903,4710.938743,6266.833333,0.751725551,1.040769211
159,6098,5878.164144,6297.666667,0.933387627,1.037398727
160,5976,5862.820528,6326.083333,0.926769412,1.019304611
161,5961,6057.771529,6361.166667,0.952305111,0.984025226
162,5962,5891.929354,6410.583333,0.919094105,1.011892649
163,6135,6161.967474,6452.166667,0.955022986,0.995623561
164,6592,6859.587929,6467.291667,1.060658508,0.96099067
165,5771,5969.0177,6477.375,0.921518007,0.966825748
166,6636,6568.418822,6502.958333,1.010066263,1.010288805
167,7551,7774.280254,6536.166667,1.189425033,0.971279624
168,11293,10980.61753,6565,1.672599776,1.028448534
169,4672,4667.81378,6598.291667,0.707427621,1.000896827
170,5018,4986.195582,6633,0.751725551,1.006378494
171,6225,6236.623883,6681.708333,0.933387627,0.99813619
172,6463,6232.987677,6725.5,0.926769412,1.036902419
173,6271,6431.114811,6753.208333,0.952305111,0.975103102
174,6344,6240.534089,6789.875,0.919094105,1.016579656
175,6552,6525.075172,6832.375,0.955022986,1.004126363
176,7008,7284.249079,6867.666667,1.060658508,0.962075833
177,6524,6375.791106,6918.791667,0.921518007,1.023245569
178,6934,7027.325594,6957.291667,1.010066263,0.986719614
179,7918,8307.340906,6984.333333,1.189425033,0.953132909
180,11806,11744.29871,7021.583333,1.672599776,1.005253723
181,5179,4980.79155,7040.708333,0.707427621,1.039794568
182,5358,5312.757691,7067.416667,0.751725551,1.008515786
183,7112,6611.340124,7083.166667,0.933387627,1.075727442
184,6500,6559.171895,7077.458333,0.926769412,0.990978755
185,6883,6752.240031,7090.416667,0.952305111,1.019365421
186,6626,6505.539556,7078.208333,0.919094105,1.018516595
187,6729,6736.015874,7053.25,0.955022986,0.998958454
188,7472,7493.861716,7065.291667,1.060658508,0.997082717
189,6438,6502.07747,7055.833333,0.921518007,0.990145077
190,6883,7098.661524,7027.916667,1.010066263,0.96961941
191,8280,8357.197639,7026.25,1.189425033,0.990762736
192,11151,11753.42832,7027.041667,1.672599776,0.94874446
193,5235,4974.689987,7032.083333,0.707427621,1.052326881
194,5591,5296.846166,7046.25,0.751725551,1.055533769
195,6652,6565.837478,7034.416667,0.933387627,1.013122853
196,6290,6496.460498,7009.791667,0.926769412,0.968219541
197,7053,6648.637171,6981.625,0.952305111,1.060818905
