t,Observations,Fit,Trend,Seasonal,Random
1,702,NA,NA,0.818995997,NA
2,659,NA,NA,0.777514783,NA
3,731,NA,NA,0.904160609,NA
4,816,NA,NA,0.958919898,NA
5,857,NA,NA,0.985537851,NA
6,854,NA,NA,0.97025382,NA
7,714,748.6868543,848.5,0.882365179,0.953669743
8,777,819.2633042,846.5833333,0.967729073,0.948413039
9,762,772.7962365,843.9166667,0.915725767,0.986029647
10,842,851.2149611,842.125,1.010794076,0.989174343
11,915,942.2769151,839.3333333,1.122649224,0.971052124
12,1556,1406.778798,834.7083333,1.685353724,1.106072967
13,696,681.7459177,832.4166667,0.818995997,1.020908203
14,619,645.9528022,830.7916667,0.777514783,0.958274347
15,707,748.9086975,828.2916667,0.904160609,0.944040311
16,797,793.5062158,827.5,0.958919898,1.00440297
17,809,815.2451234,827.2083333,0.985537851,0.992339576
18,791,804.2595623,828.9166667,0.97025382,0.98351333
19,722,732.6572202,830.3333333,0.882365179,0.985454016
20,730,803.7796391,830.5833333,0.967729073,0.908209122
21,749,763.2192712,833.4583333,0.915725767,0.98136935
22,836,843.8445876,834.8333333,1.010794076,0.990703753
23,914,935.3071345,833.125,1.122649224,0.977219104
24,1598,1404.742329,833.5,1.685353724,1.137575174
25,688,683.4862842,834.5416667,0.818995997,1.00660396
26,633,649.5488081,835.4166667,0.777514783,0.97452261
27,762,756.4810426,836.6666667,0.904160609,1.007295566
28,775,802.5360448,836.9166667,0.958919898,0.965688713
29,790,825.7164631,837.8333333,0.985537851,0.956744882
30,819,812.7492832,837.6666667,0.97025382,1.00769083
31,719,737.216107,835.5,0.882365179,0.975290682
32,754,806.440894,833.3333333,0.967729073,0.934972427
33,755,758.7932633,828.625,0.915725767,0.995000926
34,836,831.8835244,823,1.010794076,1.00494838
35,936,918.4673961,818.125,1.122649224,1.019088978
36,1572,1368.507224,812,1.685353724,1.148696896
37,662,659.7695251,805.5833333,0.818995997,1.003380688
38,607,622.0442226,800.0416667,0.777514783,0.975814866
39,675,720.0132314,796.3333333,0.904160609,0.937482772
40,727,759.1449194,791.6666667,0.958919898,0.957656412
41,721,775.618289,787,0.985537851,0.929580968
42,741,758.0107969,781.25,0.97025382,0.977558635
43,643,684.6050832,775.875,0.882365179,0.939227616
