t,Observations,Fit,Trend,Seasonal,Random
1,1874,NA,NA,0.74531755,NA
2,1993,NA,NA,0.79122916,NA
3,2405,NA,NA,1.002318115,NA
4,2667,NA,NA,1.037955084,NA
5,2755,NA,NA,1.063607664,NA
6,2425,NA,NA,0.972238215,NA
7,2375,2412.349125,2663.791667,0.90560728,0.984517529
8,2660,2600.617174,2674.791667,0.972269058,1.022834128
9,2562,2573.691489,2676.958333,0.961423813,0.995457308
10,2757,2689.75435,2682.583333,1.002673176,1.025000666
11,2948,2884.902324,2691.625,1.071806928,1.021871685
12,4419,3981.60419,2702.041667,1.473553957,1.109854167
13,2125,2023.009215,2714.291667,0.74531755,1.050415383
14,2006,2152.044411,2719.875,0.79122916,0.932136897
15,2444,2727.516407,2721.208333,1.002318115,0.896053272
16,2763,2825.400236,2722.083333,1.037955084,0.97791455
17,2876,2892.392408,2719.416667,1.063607664,0.994332578
18,2554,2633.104656,2708.291667,0.972238215,0.969957648
19,2540,2430.649939,2684,0.90560728,1.044987993
20,2629,2594.45947,2668.458333,0.972269058,1.013313189
21,2625,2568.844311,2671.916667,0.961423813,1.021860293
22,2715,2675.508035,2668.375,1.002673176,1.014760548
23,2926,2836.537036,2646.5,1.071806928,1.031539501
24,4174,3873.543566,2628.708333,1.473553957,1.077566298
25,1787,1946.95577,2612.25,0.74531755,0.917843141
26,1971,2054.393546,2596.458333,0.79122916,0.95940722
27,2562,2590.198825,2584.208333,1.002318115,0.989113259
28,2560,2667.328326,2569.791667,1.037955084,0.959761862
29,2554,2721.461793,2558.708333,1.063607664,0.938466234
30,2449,2481.354474,2552.208333,0.972238215,0.986960962
31,2250,2307.751484,2548.291667,0.90560728,0.974974999
32,2540,2468.63165,2539.041667,0.972269058,1.028910085
33,2420,2428.035781,2525.458333,0.961423813,0.996690419
34,2574,2520.177249,2513.458333,1.002673176,1.021356732
35,2801,2687.823825,2507.75,1.071806928,1.042106992
36,4143,3688.796739,2503.333333,1.473553957,1.123130466
37,1724,1860.623154,2496.416667,0.74531755,0.926571292
38,1812,1965.742912,2484.416667,0.79122916,0.921788902
39,2395,2479.317383,2473.583333,1.002318115,0.965991694
40,2439,2554.191222,2460.791667,1.037955084,0.954901097
41,2538,2595.601553,2440.375,1.063607664,0.977808014
42,2359,2345.200614,2412.166667,0.972238215,1.005884096
43,2174,2161.760044,2387.083333,0.90560728,1.005662033
44,2328,2315.580296,2381.625,0.972269058,1.005363539
45,2372,2282.780667,2374.375,0.961423813,1.03908362
46,2315,2368.648265,2362.333333,1.002673176,0.977350683
47,2570,2528.705155,2359.291667,1.071806928,1.016330431
48,3697,3478.753902,2360.791667,1.473553957,1.06273686
49,1568,1757.024014,2357.416667,0.74531755,0.892418081
50,1837,1862.850153,2354.375,0.79122916,0.986123332
51,2196,2357.034573,2351.583333,1.002318115,0.931679164
52,2349,2441.097366,2351.833333,1.037955084,0.962272146
53,2555,2506.923264,2357,1.063607664,1.019177586
54,2378,2291.322413,2356.75,0.972238215,1.03782863
55,2074,2138.06332,2360.916667,0.90560728,0.970036753
56,2355,2299.699901,2365.291667,0.972269058,1.024046659
57,2278,2279.295505,2370.75,0.961423813,0.99943162
58,2415,2378.466107,2372.125,1.002673176,1.015360275
59,2594,2531.295355,2361.708333,1.071806928,1.024771762
60,3667,3461.378245,2349,1.473553957,1.05940459
61,1698,1746.1548,2342.833333,0.74531755,0.972422376
62,1812,1854.113665,2343.333333,0.79122916,0.977286363
63,2352,2347.637841,2342.208333,1.002318115,1.001858106
64,2226,2428.468912,2339.666667,1.037955084,0.916626929
65,2428,2481.751216,2333.333333,1.063607664,0.978341416
66,2200,2260.49436,2325.041667,0.972238215,0.973238438
67,2104,2102.857837,2322.041667,0.90560728,1.000543148
68,2337,2257.041596,2321.416667,0.972269058,1.035426199
69,2269,2224.013636,2313.25,0.961423813,1.020227558
70,2363,2324.86487,2318.666667,1.002673176,1.01640316
71,2494,2501.776006,2334.166667,1.071806928,0.996891806
72,3568,3448.361851,2340.166667,1.473553957,1.034694198
73,1725,1749.632949,2347.5,0.74531755,0.985921076
74,1770,1861.102856,2352.166667,0.79122916,0.951048995
75,2198,2356.282835,2350.833333,1.002318115,0.932825197
76,2510,2441.659591,2352.375,1.037955084,1.027989327
77,2516,2506.435777,2356.541667,1.063607664,1.003815866
78,2256,2295.332896,2360.875,0.972238215,0.982863969
79,2224,2141.308413,2364.5,0.90560728,1.038617318
