t,Observations,Fit,Trend,Seasonal,Random
1,939,NA,NA,0.982787467,NA
2,844,NA,NA,0.934711477,NA
3,936,NA,NA,1.037865977,NA
4,932,NA,NA,0.927476677,NA
5,843,NA,NA,0.911433624,NA
6,900,NA,NA,0.954008421,NA
7,939,889.9051655,958.625,0.928314164,1.055168614
8,939,970.7412144,970.9583333,0.999776387,0.967302084
9,952,968.8800029,988.625,0.980027819,0.982577819
10,985,976.4707484,1004.583333,0.972015677,1.008734774
11,950,1052.174782,1017.208333,1.034374913,0.902891816
12,1294,1379.663732,1031.75,1.337207397,0.937909702
13,1040,1028.03664,1046.041667,0.982787467,1.011637095
14,1039,992.2351789,1061.541667,0.934711477,1.047130783
15,1165,1121.976365,1081.041667,1.037865977,1.038346293
16,1086,1021.422335,1101.291667,0.927476677,1.063223275
17,992,1023.767819,1123.25,0.911433624,0.968969704
18,1100,1091.942138,1144.583333,0.954008421,1.007379385
19,1082,1081.253923,1164.75,0.928314164,1.000690011
20,1168,1184.026844,1184.291667,0.999776387,0.986464121
21,1191,1181.954385,1206.041667,0.980027819,1.0076531
22,1232,1192.98724,1227.333333,0.972015677,1.032701741
23,1230,1289.994814,1247.125,1.034374913,0.953492205
24,1526,1696.693319,1268.833333,1.337207397,0.899396481
25,1292,1266.935893,1289.125,0.982787467,1.019783248
26,1256,1224.978337,1310.541667,0.934711477,1.025324255
27,1470,1385.378102,1334.833333,1.037865977,1.061082168
28,1292,1262.102533,1360.791667,0.927476677,1.02368862
29,1261,1263.930579,1386.75,0.911433624,0.997681377
30,1352,1350.716922,1415.833333,0.954008421,1.000949924
31,1317,1340.369614,1443.875,0.928314164,0.982564799
32,1447,1465.922127,1466.25,0.999776387,0.987091997
33,1495,1459.50643,1489.25,0.980027819,1.024318886
34,1551,1468.796689,1511.083333,0.972015677,1.055966433
35,1534,1586.946612,1534.208333,1.034374913,0.966636173
36,1920,2089.776577,1562.791667,1.337207397,0.918758503
37,1571,1556.735348,1584,0.982787467,1.009163184
38,1514,1497.68041,1602.291667,0.934711477,1.010896577
39,1764,1686.31599,1624.791667,1.037865977,1.046067291
40,1522,1526.587965,1645.958333,0.927476677,0.996994628
41,1586,1519.397828,1667.041667,0.911433624,1.043834584
42,1713,1615.056755,1692.916667,0.954008421,1.060643841
43,1465,1595.38525,1718.583333,0.928314164,0.918273501
44,1738,1738.944396,1739.333333,0.999776387,0.999456914
45,1744,1722.970575,1758.083333,0.980027819,1.01220533
46,1810,1731.15992,1781,0.972015677,1.045541766
