t,Observations,Fit,Trend,Seasonal,Random
1,3253,NA,NA,0.950195356,NA
2,3042,NA,NA,0.904767615,NA
3,3246,NA,NA,0.950375948,NA
4,3164,NA,NA,0.869373491,NA
5,3211,NA,NA,0.921370117,NA
6,3425,NA,NA,0.94034331,NA
7,3527,3367.372127,3576.833333,0.941439484,1.047404286
8,3428,3557.837929,3600,0.988288314,0.963506508
9,3421,3356.674254,3628.583333,0.925064673,1.019163535
10,3596,3377.071763,3662.583333,0.922046396,1.064827831
11,3853,4088.855673,3693.208333,1.107128357,0.942317438
12,5597,5885.747089,3726.083333,1.579606939,0.950941302
13,3571,3578.356528,3765.916667,0.950195356,0.99794416
14,3280,3449.992013,3813.125,0.904767615,0.950726839
15,3694,3671.737875,3863.458333,0.950375948,1.006063103
16,3532,3397.221813,3907.666667,0.869373491,1.039673061
17,3578,3645.362478,3956.458333,0.921370117,0.981521048
18,3847,3784.76428,4024.875,0.94034331,1.016443751
19,4061,3845.623385,4084.833333,0.941439484,1.056005644
20,4027,4081.136591,4129.5,0.988288314,0.986734923
21,4030,3867.888119,4181.208333,0.925064673,1.041912247
22,4048,3902.254023,4232.166667,0.922046396,1.037349177
23,4572,4739.155191,4280.583333,1.107128357,0.964728905
24,6520,6849.175688,4336,1.579606939,0.951939372
25,4087,4163.637276,4381.875,0.950195356,0.981593671
26,3836,4006.273302,4427.958333,0.904767615,0.957498331
27,4379,4262.436126,4485,0.950375948,1.027346773
28,4070,3953.113712,4547.083333,0.869373491,1.029568157
29,4202,4259.647613,4623.166667,0.921370117,0.986466577
30,4553,4442.651968,4724.5,0.94034331,1.024838325
31,4456,4537.973672,4820.25,0.941439484,0.981936063
32,4738,4828.323735,4885.541667,0.988288314,0.981292941
33,4688,4575.254239,4945.875,0.925064673,1.024642513
34,4880,4607.965283,4997.541667,0.922046396,1.059035757
35,5566,5592.658894,5051.5,1.107128357,0.995233234
36,7958,8075.345575,5112.25,1.579606939,0.985468662
37,4947,4904.710471,5161.791667,0.950195356,1.008622227
38,4543,4715.912702,5212.291667,0.904767615,0.963334202
39,5120,5003.13538,5264.375,0.950375948,1.023358277
40,4569,4614.779387,5308.166667,0.869373491,0.990079832
41,4998,4927.679339,5348.208333,0.921370117,1.014270543
42,5215,5067.470917,5388.958333,0.94034331,1.029112961
43,4983,5107.505333,5425.208333,0.941439484,0.975623064
44,5423,5397.08366,5461.041667,0.988288314,1.004801916
45,5253,5084.039809,5495.875,0.925064673,1.033233452
46,5366,5103.795733,5535.291667,0.922046396,1.051374365
47,6041,6174.685497,5577.208333,1.107128357,0.978349424
48,8461,8847.049381,5600.791667,1.579606939,0.956364053
49,5314,5342.710938,5622.75,0.950195356,0.994626148
50,5036,5112.12552,5650.208333,0.904767615,0.985108832
51,5463,5391.918341,5673.458333,0.950375948,1.013183
52,5172,4952.422317,5696.541667,0.869373491,1.044337431
53,5401,5263.365185,5712.541667,0.921370117,1.026149585
54,5378,5372.18133,5713,0.94034331,1.001083111
55,5347,5374.874146,5709.208333,0.941439484,0.994813991
56,5718,5642.302698,5709.166667,0.988288314,1.01341603
57,5516,5282.851625,5710.791667,0.925064673,1.044133054
58,5657,5270.340363,5715.916667,0.922046396,1.073365212
59,6134,6332.866461,5720.083333,1.107128357,0.968597718
60,8379,9042.920642,5724.791667,1.579606939,0.926581171
61,5305,5457.169887,5743.208333,0.950195356,0.972115604
62,5044,5214.062671,5762.875,0.904767615,0.967383846
63,5494,5486.995535,5773.5,0.950375948,1.001276558
64,5264,5024.544092,5779.5,0.869373491,1.047657241
65,5409,5333.427704,5788.583333,0.921370117,1.014169555
66,5483,5476.363533,5823.791667,0.94034331,1.001211838
67,5684,5531.427687,5875.5,0.941439484,1.027582809
68,5853,5848.07256,5917.375,0.988288314,1.000842575
69,5636,5504.905691,5950.833333,0.925064673,1.023814088
70,5681,5507.844147,5973.5,0.922046396,1.031438045
71,6328,6629.53073,5988.041667,1.107128357,0.954517033
72,9030,9499.624498,6013.916667,1.579606939,0.950563888
73,5895,5746.385599,6047.583333,0.950195356,1.02586224
74,5459,5502.532746,6081.708333,0.904767615,0.992088598
75,5882,5808.301803,6111.583333,0.950375948,1.012688424
76,5420,5332.157413,6133.333333,0.869373491,1.016474117
77,5602,5674.142695,6158.375,0.921370117,0.98728571
78,5911,5828.757188,6198.541667,0.94034331,1.014109837
79,6064,5866.187877,6231.083333,0.941439484,1.033720728
80,6292,6174.94892,6248.125,0.988288314,1.018955797
81,5914,5803.316136,6273.416667,0.925064673,1.01907252
82,5925,5811.312667,6302.625,0.922046396,1.019563107
83,6685,7011.305492,6332.875,1.107128357,0.953460095
84,9637,10049.52516,6362.041667,1.579606939,0.958950781
85,6069,6071.431593,6389.666667,0.950195356,0.999599502
86,5694,5803.292581,6414.125,0.904767615,0.981167143
87,6254,6119.668723,6439.208333,0.950375948,1.021950743
88,5749,5619.811367,6464.208333,0.869373491,1.022988073
89,5999,5980.421479,6490.791667,0.921370117,1.003106557
90,6214,6160.580834,6551.416667,0.94034331,1.008671125
