t,Observations,Fit,Trend,Seasonal,Random
1,2397,NA,NA,0.951880811,NA
2,2465,NA,NA,0.944541181,NA
3,2612,NA,NA,1.018944712,NA
4,2530,NA,NA,0.947313394,NA
5,2609,NA,NA,1.000287851,NA
6,2609,NA,NA,0.981098655,NA
7,2632,2629.709221,2640.666667,0.9958505,1.000871115
8,2643,2731.025845,2646.75,1.031841256,0.967768213
9,2616,2621.892127,2650.541667,0.989191062,0.997752719
10,2670,2632.39627,2659.916667,0.989653662,1.014284981
11,2773,2834.88208,2671.666667,1.061091234,0.978171198
12,3052,2921.284522,2684.25,1.08830568,1.044745891
13,2557,2567.777811,2697.583333,0.951880811,0.99580267
14,2451,2560.454363,2710.791667,0.944541181,0.957251977
15,2717,2773.907154,2722.333333,1.018944712,0.979484838
16,2650,2590.625834,2734.708333,0.947313394,1.02291885
17,2771,2752.875522,2752.083333,1.000287851,1.006583835
18,2749,2718.910528,2771.291667,0.981098655,1.011066739
19,2812,2767.427046,2778.958333,0.9958505,1.01610628
20,2780,2871.485236,2782.875,1.031841256,0.968140099
21,2756,2765.778211,2796,0.989191062,0.996464572
22,2827,2782.864862,2811.958333,0.989653662,1.015859605
23,3033,2995.814251,2823.333333,1.061091234,1.012412568
24,3253,3083.532761,2833.333333,1.08830568,1.054958793
25,2540,2707.46632,2844.333333,0.951880811,0.938146481
26,2562,2703.119437,2861.833333,0.944541181,0.947793858
27,2921,2942.202855,2887.5,1.018944712,0.992793544
28,2829,2756.287264,2909.583333,0.947313394,1.026380681
29,2865,2929.593043,2928.75,1.000287851,0.977951531
30,2895,2895.426528,2951.208333,0.981098655,0.999852689
31,2930,2964.522458,2976.875,0.9958505,0.9883548
32,3082,3089.977622,2994.625,1.031841256,0.997418227
33,3070,2972.189412,3004.666667,0.989191062,1.032908598
34,3043,2978.692581,3009.833333,0.989653662,1.021589143
35,3277,3200.428011,3016.166667,1.061091234,1.023925547
36,3548,3296.976712,3029.458333,1.08830568,1.076137416
37,2861,2893.638342,3039.916667,0.951880811,0.988720656
38,2667,2879.079588,3048.125,0.944541181,0.926337713
39,3057,3115.465912,3057.541667,1.018944712,0.981233654
40,2817,2906.791679,3068.458333,0.947313394,0.969109696
41,3029,3081.094973,3080.208333,1.000287851,0.983092059
42,3050,3027.874846,3086.208333,0.981098655,1.007307156
43,3026,3074.522444,3087.333333,0.9958505,0.984217892
44,3183,3199.610755,3100.875,1.031841256,0.994808508
45,3195,3088.584227,3122.333333,0.989191062,1.034454548
46,3180,3111.965941,3144.5,0.989653662,1.021862084
47,3422,3361.713878,3168.166667,1.061091234,1.017933151
48,3547,3466.707052,3185.416667,1.08830568,1.023161157
49,2889,3047.248108,3201.291667,0.951880811,0.948068519
50,2964,3039.533521,3218,0.944541181,0.975149634
51,3275,3288.389321,3227.25,1.018944712,0.995928304
52,3131,3065.585087,3236.083333,0.947313394,1.021338476
53,3283,3252.519304,3251.583333,1.000287851,1.009371411
54,3210,3202.919198,3264.625,0.981098655,1.002210734
55,3247,3270.165574,3283.791667,0.9958505,0.992916085
56,3363,3410.063378,3304.833333,1.031841256,0.986198679
57,3237,3279.580535,3315.416667,0.989191062,0.987016469
58,3350,3290.268542,3324.666667,0.989653662,1.018153977
59,3624,3543.956298,3339.916667,1.061091234,1.022585973
60,3658,3652.081787,3355.75,1.08830568,1.001620504
61,3238,3205.89491,3367.958333,0.951880811,1.010014392
62,3120,3197.626101,3385.375,0.944541181,0.975723834
63,3373,3471.247441,3406.708333,1.018944712,0.971696791
64,3255,3247.311373,3427.916667,0.947313394,1.00236769
65,3525,3449.951118,3448.958333,1.000287851,1.021753607
66,3348,3411.566178,3477.291667,0.981098655,0.98136745
67,3402,3494.854343,3509.416667,0.9958505,0.973431127
68,3626,3646.78496,3534.25,1.031841256,0.99430047
69,3486,3518.717474,3557.166667,0.989191062,0.990701875
70,3610,3541.351923,3578.375,0.989653662,1.019384709
71,3869,3811.218652,3591.791667,1.061091234,1.015160859
72,4093,3925.609281,3607.083333,1.08830568,1.042640698
73,3574,3454.494449,3629.125,0.951880811,1.034594223
