t,Observations,Fit,Trend,Seasonal,Random
1,662,NA,NA,0.701502635,NA
2,804,NA,NA,0.830068626,NA
3,718,NA,NA,0.817663379,NA
4,807,NA,NA,0.846317434,NA
5,906,NA,NA,0.969333317,NA
6,892,NA,NA,0.930880679,NA
7,948,979.1506844,1030.166667,0.950477933,0.968186016
8,957,989.7492779,1035.5,0.955817748,0.966911542
9,880,914.6061841,1039.791667,0.879605226,0.962162749
10,1018,1083.678344,1049.5,1.032566312,0.939393138
11,1258,1205.50649,1060.5,1.136734078,1.043544776
12,2462,2084.327982,1069.416667,1.949032633,1.18119606
13,762,754.7583772,1075.916667,0.701502635,1.009594624
14,832,896.1282539,1079.583333,0.830068626,0.928438531
15,793,886.0404786,1083.625,0.817663379,0.894992971
16,965,918.2191527,1084.958333,0.846317434,1.050947366
17,1012,1047.566593,1080.708333,0.969333317,0.96604837
18,1000,999.1064754,1073.291667,0.930880679,1.000894324
19,996,1012.932254,1065.708333,0.950477933,0.983283922
20,997,1017.30869,1064.333333,0.955817748,0.980036846
21,937,941.7639955,1070.666667,0.879605226,0.994941413
22,993,1107.685511,1072.75,1.032566312,0.896463834
23,1181,1220.331397,1073.541667,1.136734078,0.967769905
24,2361,2107.960002,1081.541667,1.949032633,1.120040227
25,681,766.9762148,1093.333333,0.701502635,0.887902372
26,880,918.5401068,1106.583333,0.830068626,0.958041999
27,897,913.8069642,1117.583333,0.817663379,0.981607752
28,911,955.1397507,1128.583333,0.846317434,0.953787128
29,1085,1105.686203,1140.666667,0.969333317,0.981291072
30,1119,1076.291998,1156.208333,0.930880679,1.039680683
31,1160,1109.326558,1167.125,0.950477933,1.045679463
32,1151,1119.063454,1170.791667,0.955817748,1.028538637
33,1047,1030.457522,1171.5,0.879605226,1.016053527
34,1147,1209.952599,1171.791667,1.032566312,0.94797102
35,1317,1336.609821,1175.833333,1.136734078,0.985328687
36,2598,2291.00665,1175.458333,1.949032633,1.133999327
37,706,821.9272545,1171.666667,0.701502635,0.858956795
38,943,970.9381888,1169.708333,0.830068626,0.971225574
39,851,957.2112618,1170.666667,0.817663379,0.88904094
40,964,993.2945617,1173.666667,0.846317434,0.970507679
41,1129,1145.75198,1182,0.969333317,0.985379052
42,1066,1119.190083,1202.291667,0.930880679,0.952474487
43,1122,1157.800933,1218.125,0.950477933,0.969078508
44,1142,1167.849985,1221.833333,0.955817748,0.977865321
45,1079,1078.066155,1225.625,0.879605226,1.000866222
46,1187,1269.798422,1229.75,1.032566312,0.934794043
47,1477,1403.819223,1234.958333,1.136734078,1.052129773
48,2925,2417.937401,1240.583333,1.949032633,1.209708737
49,759,876.1183331,1248.916667,0.701502635,0.86632133
50,979,1047.200744,1261.583333,0.830068626,0.934873286
51,906,1037.95552,1269.416667,0.817663379,0.872869773
52,1008,1077.009461,1272.583333,0.846317434,0.935924926
53,1210,1240.019645,1279.25,0.969333317,0.975790992
54,1120,1194.397485,1283.083333,0.930880679,0.937711285
55,1268,1225.878915,1289.75,0.950477933,1.034359907
56,1300,1248.457282,1306.166667,0.955817748,1.041285128
57,1109,1167.859189,1327.708333,0.879605226,0.949600783
58,1233,1390.264491,1346.416667,1.032566312,0.886881602
59,1591,1538.332756,1353.291667,1.136734078,1.034236575
60,2903,2645.486961,1357.333333,1.949032633,1.097340506
61,941,952.8159546,1358.25,0.701502635,0.987598912
62,1191,1124.466298,1354.666667,0.830068626,1.059169138
63,1211,1108.513056,1355.708333,0.817663379,1.092454431
64,1152,1152.472766,1361.75,0.846317434,0.999589781
65,1231,1324.068922,1365.958333,0.969333317,0.929709911
66,1196,1272.940542,1367.458333,0.930880679,0.939556846
67,1214,1305.283425,1373.291667,0.950477933,0.930066204
68,1268,1319.068318,1380.041667,0.955817748,0.961284554
69,1166,1216.530678,1383.041667,0.879605226,0.958463293
70,1321,1433.933442,1388.708333,1.032566312,0.921242201
71,1604,1588.727966,1397.625,1.136734078,1.009612743
72,2926,2742.776173,1407.25,1.949032633,1.066802326
73,1058,995.1691762,1418.625,0.701502635,1.063135822
74,1236,1185.199653,1427.833333,0.830068626,1.04286227
75,1238,1175.595523,1437.75,0.817663379,1.05308329
76,1261,1227.512912,1450.416667,0.846317434,1.027280437
77,1336,1414.94392,1459.708333,0.969333317,0.944207032
78,1322,1367.230997,1468.75,0.930880679,0.966917809
79,1361,1402.984636,1476.083333,0.950477933,0.970074771
80,1342,1413.136714,1478.458333,0.955817748,0.949660416
81,1330,1305.554057,1484.25,0.879605226,1.018724574
82,1461,1539.642418,1491.083333,1.032566312,0.948921635
83,1687,1696.812432,1492.708333,1.136734078,0.994217138
84,3060,2910.23056,1493.166667,1.949032633,1.051463084
85,1100,1047.197288,1492.791667,0.701502635,1.050422888
86,1251,1238.600734,1492.166667,0.830068626,1.010010704
87,1362,1218.216226,1489.875,0.817663379,1.118028122
88,1301,1259.919817,1488.708333,0.846317434,1.032605395
89,1335,1453.313364,1499.291667,0.969333317,0.918590603
90,1334,1419.786969,1525.208333,0.930880679,0.939577577
91,1340,1467.735945,1544.208333,0.950477933,0.912970759
92,1348,1483.110539,1551.666667,0.955817748,0.908900561
93,1269,1370.02179,1557.541667,0.879605226,0.92626264
94,1494,1612.395319,1561.541667,1.032566312,0.926571779
95,1908,1782.399035,1568,1.136734078,1.070467366
96,3461,3065.665912,1572.916667,1.949032633,1.128955372
97,1155,1106.386573,1577.166667,0.701502635,1.043938916
98,1375,1313.721945,1582.666667,0.830068626,1.046644615
99,1379,1299.267109,1589,0.817663379,1.06136759
100,1380,1348.465778,1593.333333,0.846317434,1.023385259
101,1411,1545.601974,1594.5,0.969333317,0.912912913
102,1376,1479.208186,1589.041667,0.930880679,0.93022741
103,1400,1504.725378,1583.125,0.950477933,0.930402331
104,1420,1509.873436,1579.666667,0.955817748,0.940476179
105,1349,1385.598133,1575.25,0.879605226,0.973586763
106,1518,1625.259374,1574,1.032566312,0.934004765
107,1912,1795.566205,1579.583333,1.136734078,1.06484517
108,3326,3094.901402,1587.916667,1.949032633,1.074670747
109,1148,1115.886088,1590.708333,0.701502635,1.028778844
110,1299,1322.506838,1593.25,0.830068626,0.982225545
111,1349,1300.629881,1590.666667,0.817663379,1.037189765
112,1380,1338.592075,1581.666667,0.846317434,1.030933939
113,1545,1523.549641,1571.75,0.969333317,1.0140792
114,1442,1450.040591,1557.708333,0.930880679,0.99445492
115,1401,1469.399282,1545.958333,0.950477933,0.953450854
116,1480,1474.548005,1542.708333,0.955817748,1.003697401
117,1227,1353.382591,1538.625,0.879605226,0.906617248
118,1424,1576.728758,1527,1.032566312,0.903135681
119,1768,1725.230784,1517.708333,1.136734078,1.024790432
120,3133,2948.886374,1513,1.949032633,1.062434968
121,1059,1060.204316,1511.333333,0.701502635,0.998864071
122,1310,1256.308865,1513.5,0.830068626,1.042737209
123,1240,1241.62184,1518.5,0.817663379,0.998693773
124,1210,1292.361985,1527.041667,0.846317434,0.936270189
125,1492,1481.141308,1528,0.969333317,1.0073313
126,1382,1413.813818,1518.791667,0.930880679,0.977497873
127,1421,1439.815656,1514.833333,0.950477933,0.986931899
128,1512,1444.95748,1511.75,0.955817748,1.046397573
129,1315,1322.303206,1503.291667,0.879605226,0.994476905
130,1541,1550.269246,1501.375,1.032566312,0.99402088
131,1674,1709.932237,1504.25,1.136734078,0.978986163
132,3006,2934.999516,1505.875,1.949032633,1.024190969
133,1091,1056.287593,1505.75,0.701502635,1.032862647
134,1204,1247.696903,1503.125,0.830068626,0.96497795
135,1143,1224.859741,1498,0.817663379,0.93316807
136,1261,1263.763508,1493.25,0.846317434,0.997813271
137,1510,1444.952864,1490.666667,0.969333317,1.045016787
138,1403,1383.521409,1486.25,0.930880679,1.014078995
139,1397,1409.756792,1483.208333,0.950477933,0.990951069
140,1473,1422.05768,1487.791667,0.955817748,1.035822963
141,1231,1313.653755,1493.458333,0.879605226,0.937081019
142,1511,1545.321533,1496.583333,1.032566312,0.977790038
143,1642,1698.185985,1493.916667,1.136734078,0.966914116
144,2932,2900.972655,1488.416667,1.949032633,1.010695497
145,1092,1044.508195,1488.958333,0.701502635,1.045468102
146,1313,1233.966185,1486.583333,0.830068626,1.064048607
147,1170,1214.196048,1484.958333,0.817663379,0.963600567
148,1309,1259.285079,1487.958333,0.846317434,1.039478687
149,1398,1444.306642,1490,0.969333317,0.967938497
150,1383,1381.853581,1484.458333,0.930880679,1.000829624
151,1430,1400.252012,1473.208333,0.950477933,1.021244738
152,1383,1399.43666,1464.125,0.955817748,0.988254802
153,1282,1283.087473,1458.708333,0.879605226,0.999152456
154,1532,1501.093276,1453.75,1.032566312,1.020589476
155,1670,1647.364499,1449.208333,1.136734078,1.013740433
156,2771,2827.883931,1450.916667,1.949032633,0.97988463
157,983,1020.48173,1454.708333,0.701502635,0.963270553
158,1204,1212.211469,1460.375,0.830068626,0.993226042
159,1149,1199.30776,1466.75,0.817663379,0.958052668
160,1211,1242.958205,1468.666667,0.846317434,0.974288593
161,1387,1424.192976,1469.25,0.969333317,0.973884876
162,1435,1371.342387,1473.166667,0.930880679,1.046419927
163,1469,1403.499478,1476.625,0.950477933,1.046669431
164,1480,1414.610267,1480,0.955817748,1.046224557
165,1338,1306.470312,1485.291667,0.879605226,1.02413349
166,1522,1537.147049,1488.666667,1.032566312,0.990145999
167,1694,1696.196701,1492.166667,1.136734078,0.998704926
168,2841,2913.641367,1494.916667,1.949032633,0.975068528
169,996,1049.477172,1496.041667,0.701502635,0.949043987
170,1272,1243.339043,1497.875,0.830068626,1.023051602
171,1208,1228.471088,1502.416667,0.817663379,0.983336126
172,1233,1284.639338,1517.916667,0.846317434,0.959802462
173,1449,1487.320808,1534.375,0.969333317,0.974235009
174,1439,1437.900355,1544.666667,0.930880679,1.000764757
175,1492,1477.715964,1554.708333,0.950477933,1.009666294
176,1501,1488.128582,1556.916667,0.955817748,1.008649399
177,1426,1371.781,1559.541667,0.879605226,1.03952453
178,1806,1616.912797,1565.916667,1.032566312,1.116943353
179,1805,1786.424968,1571.541667,1.136734078,1.01039788
180,2977,3073.543253,1576.958333,1.949032633,0.96858894
181,1101,1105.977363,1576.583333,0.701502635,0.995499579
182,1220,1306.112983,1573.5,0.830068626,0.93406927
183,1323,1283.629296,1569.875,0.817663379,1.030671397
184,1271,1322.58257,1562.75,0.846317434,0.960998601
185,1546,1505.899696,1553.541667,0.969333317,1.026628801
186,1472,1424.247439,1530,0.930880679,1.033528276
187,1450,1437.201842,1512.083333,0.950477933,1.008904914
188,1469,1448.740926,1515.708333,0.955817748,1.013983918
189,1371,1333.664774,1516.208333,0.879605226,1.027994461
190,1690,1561.025145,1511.791667,1.032566312,1.082621894
191,1700,1716.184275,1509.75,1.136734078,0.990569617
192,2517,2936.62371,1506.708333,1.949032633,0.857106749
193,1131,1053.130831,1501.25,0.701502635,1.073940641
194,1277,1240.987182,1495.041667,0.830068626,1.029019493
195,1278,1214.945573,1485.875,0.817663379,1.051898973
196,1210,1249.693481,1476.625,0.846317434,0.968237427
197,1558,1415.347809,1460.125,0.969333317,1.100789495
198,1387,1339.49851,1438.958333,0.930880679,1.035462144
199,1404,1353.044942,1423.541667,0.950477933,1.037659546
200,1366,1347.145464,1409.416667,0.955817748,1.013995917
201,1254,1224.153923,1391.708333,0.879605226,1.024380984
202,1585,1424.382203,1379.458333,1.032566312,1.112763131
203,1409,1561.162165,1373.375,1.136734078,0.902532762
204,2300,2661.160431,1365.375,1.949032633,0.864284608
205,978,951.9975349,1357.083333,0.701502635,1.027313585
206,1091,1117.652818,1346.458333,0.830068626,0.976152864
207,1039,1093.250006,1337.041667,0.817663379,0.95037731
208,1155,1126.519031,1331.083333,0.846317434,1.025282279
209,1467,1280.327756,1320.833333,0.969333317,1.145800357
210,1286,1209.407935,1299.208333,0.930880679,1.063330215
211,1306,1217.324613,1280.75,0.950477933,1.072844487
212,1209,1215.083312,1271.25,0.955817748,0.994993502
213,1185,1113.103764,1265.458333,0.879605226,1.064590777
214,1511,1301.851001,1260.791667,1.032566312,1.160655097
215,1237,1416.986393,1246.541667,1.136734078,0.872979449
216,1953,2402.588769,1232.708333,1.949032633,0.812873191
217,882,858.5223087,1223.833333,0.701502635,1.027346629
218,959,1010.020587,1216.791667,0.830068626,0.949485597
219,1032,992.472995,1213.791667,0.817663379,1.039826781
220,1050,1026.265678,1212.625,0.846317434,1.023126878
221,1230,1181.980813,1219.375,0.969333317,1.040626029
222,1191,1148.667971,1233.958333,0.930880679,1.036853146
223,1188,1180.889626,1242.416667,0.950477933,1.006021201
224,1158,1193.577413,1248.75,0.955817748,0.970192622
225,1164,1104.564263,1255.75,0.879605226,1.053809216
226,1504,1302.453331,1261.375,1.032566312,1.15474387
227,1406,1446.446751,1272.458333,1.136734078,0.972037166
228,2134,NA,NA,1.949032633,NA
229,904,NA,NA,NA,NA
230,1089,NA,NA,NA,NA
231,1070,NA,NA,NA,NA
232,1147,NA,NA,NA,NA
233,1399,NA,NA,NA,NA
