t,Observations,Fit,Trend,Seasonal,Random
1,803,NA,NA,0.649677693,NA
2,1030,NA,NA,0.943929446,NA
3,922,NA,NA,0.764479036,NA
4,977,NA,NA,0.794213907,NA
5,1182,NA,NA,1.015472477,NA
6,1104,NA,NA,0.85399744,NA
7,1046,1026.989815,1265.291667,0.811662514,1.018510588
8,1100,1078.72162,1264.083333,0.853362742,1.019725553
9,1043,995.4288204,1262.083333,0.788718775,1.047789635
10,1132,1055.761267,1262.5,0.836246548,1.072212095
11,1376,1359.511651,1266.416667,1.073510549,1.012128141
12,3469,3336.394042,1276,2.614728873,1.039745293
13,802,839.7625578,1292.583333,0.649677693,0.955031863
14,1002,1235.918288,1309.333333,0.943929446,0.810733209
15,902,1011.087232,1322.583333,0.764479036,0.892108981
16,1007,1057.992201,1332.125,0.794213907,0.951802858
17,1246,1363.991094,1343.208333,1.015472477,0.913495701
18,1270,1166.489337,1365.916667,0.85399744,1.088736913
19,1278,1124.287859,1385.166667,0.811662514,1.13671956
20,1270,1192.396649,1397.291667,0.853362742,1.065081826
21,1191,1113.408004,1411.666667,0.788718775,1.069688736
22,1213,1191.651331,1425,0.836246548,1.017915198
23,1561,1542.50047,1436.875,1.073510549,1.011993209
24,3829,3768.804829,1441.375,2.614728873,1.015971952
25,904,934.615501,1438.583333,0.649677693,0.967242678
26,1191,1357.763847,1438.416667,0.943929446,0.877177576
27,1058,1102.983983,1442.791667,0.764479036,0.959216105
28,1171,1151.345427,1449.666667,0.794213907,1.017070961
29,1367,1483.94378,1461.333333,1.015472477,0.921193928
30,1257,1267.367784,1484.041667,0.85399744,0.991819435
31,1224,1217.561409,1500.083333,0.811662514,1.005288103
32,1320,1281.608612,1501.833333,0.853362742,1.029955626
33,1246,1188.204834,1506.5,0.788718775,1.048640743
34,1323,1263.742752,1511.208333,0.836246548,1.046890277
35,1731,1634.330351,1522.416667,1.073510549,1.059149393
36,4204,4020.690377,1537.708333,2.614728873,1.045591579
37,914,1003.508406,1544.625,0.649677693,0.910804528
38,1223,1462.264703,1549.125,0.943929446,0.836373878
39,1138,1189.115288,1555.458333,0.764479036,0.957014019
40,1204,1239.569355,1560.75,0.794213907,0.971305071
41,1603,1592.683958,1568.416667,1.015472477,1.006477143
42,1388,1353.621526,1585.041667,0.85399744,1.025397405
43,1259,1299.776058,1601.375,0.811662514,0.968628397
44,1393,1378.820851,1615.75,0.853362742,1.010283532
45,1325,1287.320494,1632.166667,0.788718775,1.029269717
46,1371,1376.496662,1646.041667,0.836246548,0.996006774
47,1867,1781.356567,1659.375,1.073510549,1.048077648
48,4467,4358.970925,1667.083333,2.614728873,1.02478316
49,1043,1086.748361,1672.75,0.649677693,0.959743799
50,1439,1586.824059,1681.083333,0.943929446,0.906842817
51,1316,1288.051616,1684.875,0.764479036,1.021698186
52,1359,1341.394197,1688.958333,0.794213907,1.013125003
53,1768,1717.925563,1691.75,1.015472477,1.029148199
54,1408,1444.892502,1691.916667,0.85399744,0.974466957
55,1375,1374.144636,1693,0.811662514,1.00062247
56,1477,1443.67642,1691.75,0.853362742,1.023082444
57,1332,1329.023999,1685.041667,0.788718775,1.002239238
58,1462,1401.270466,1675.666667,0.836246548,1.04333891
59,1843,1787.081956,1664.708333,1.073510549,1.031290139
60,4495,4326.83155,1654.791667,2.614728873,1.03886642
61,1041,1071.832844,1649.791667,0.649677693,0.971233533
62,1411,1550.561436,1642.666667,0.943929446,0.909992966
63,1183,1252.407781,1638.25,0.764479036,0.944580525
64,1267,1299.664874,1636.416667,0.794213907,0.974866695
65,1597,1658.09731,1632.833333,1.015472477,0.963152157
66,1341,1400.449052,1639.875,0.85399744,0.957550007
67,1322,1340.393003,1651.416667,0.811662514,0.986277903
68,1359,1415.657676,1658.916667,0.853362742,0.959977841
