t,Observations,Fit,Trend,Seasonal,Random
1,29899,NA,NA,0.877914358,NA
2,31290,NA,NA,0.917240538,NA
3,35230,NA,NA,1.080627667,NA
4,36176,NA,NA,1.037103508,NA
5,36544,NA,NA,1.084961491,NA
6,38452,NA,NA,1.080560983,NA
7,37879,37557.09556,35046.33333,1.071641224,1.008571068
8,35504,38192.90171,35213.79167,1.084600661,0.929596821
9,35967,34510.00875,35452.375,0.973418812,1.042219382
10,36834,34971.25668,35830.70833,0.976013546,1.053264981
11,32413,32445.61571,36244.125,0.895196551,0.998994758
12,33165,33736.93141,36641.875,0.920720662,0.98304732
13,32305,32525.88562,37049.04167,0.877914358,0.993208928
14,32903,34420.9417,37526.625,0.917240538,0.955900634
15,39343,41032.82832,37971.29167,1.080627667,0.95881765
16,41143,39722.87928,38301.75,1.037103508,1.0357507
17,41499,42016.39954,38726.16667,1.084961491,0.987685772
18,43043,42411.34321,39249.375,1.080560983,1.014893581
19,43060,42515.08834,39672.875,1.071641224,1.012816901
20,41785,43508.71032,40114.95833,1.084600661,0.960382408
21,40358,39693.38281,40777.29167,0.973418812,1.016743778
22,40374,40451.36941,41445.5,0.976013546,0.998087348
23,39059,37555.21112,41951.91667,0.895196551,1.040042083
24,39076,39086.54863,42452.125,0.920720662,0.999730121
25,36558,37603.12041,42832.33333,0.877914358,0.972206551
26,39260,39647.76047,43225.04167,0.917240538,0.990219865
27,48882,47283.22377,43755.33333,1.080627667,1.033812759
28,47641,45898.35533,44256.29167,1.037103508,1.037967475
29,47155,48496.64849,44698.95833,1.084961491,0.972335233
30,49392,48668.5567,45040.08333,1.080560983,1.014864696
31,45836,48605.40402,45356.04167,1.071641224,0.943022714
32,48434,49480.06964,45620.54167,1.084600661,0.978858768
33,46436,44610.97297,45829.16667,0.973418812,1.040909824
34,46319,44853.51583,45955.83333,0.976013546,1.032672671
35,43738,41363.86215,46206.45833,0.895196551,1.057396426
36,42584,42977.89779,46678.54167,0.920720662,0.990834875
37,40633,41340.43841,47089.375,0.877914358,0.982887496
38,41533,43551.38333,47480.875,0.917240538,0.953655127
39,51616,51655.12812,47801.04167,1.080627667,0.999242512
40,47947,49782.52403,48001.5,1.037103508,0.963129149
41,52864,52290.98486,48196.16667,1.084961491,1.010958201
42,55013,52244.67327,48349.58333,1.080560983,1.052987732
43,50075,52063.94747,48583.375,1.071641224,0.961797989
44,53591,53257.19144,49103.04167,1.084600661,1.006267859
45,48963,48296.33659,49615.16667,0.973418812,1.013803602
46,48603,48847.8106,50048.29167,0.976013546,0.994988299
47,46126,45237.37763,50533.45833,0.895196551,1.019643543
48,43878,46734.36136,50758.45833,0.920720662,0.938880916
49,44950,44748.72143,50971.625,0.877914358,1.004497974
50,49688,47024.4764,51267.33333,0.917240538,1.056641218
51,55752,55591.62958,51443.83333,1.080627667,1.002884794
52,54206,53697.28728,51776.20833,1.037103508,1.009473714
53,58249,56528.79924,52102.125,1.084961491,1.03043052
54,55028,56502.30866,52289.79167,1.080560983,0.973907108
55,55176,56300.94896,52537.125,1.071641224,0.980019005
56,55587,57163.87783,52705,1.084600661,0.972414786
57,51203,51404.58453,52808.29167,0.973418812,0.996078472
58,54340,51709.48232,52980.29167,0.976013546,1.050871089
59,48211,47499.12902,53060,0.895196551,1.014987032
60,46297,48940.3697,53154.41667,0.920720662,0.94598795
61,48467,46880.66328,53400.04167,0.877914358,1.033837762
62,50200,49208.61722,53648.54167,0.917240538,1.020146528
63,57719,58260.59981,53913.66667,1.080627667,0.990703841
64,56367,56137.03007,54128.66667,1.037103508,1.004096582
65,58001,58813.09524,54207.54167,1.084961491,0.986191932
66,57542,58789.72119,54406.66667,1.080560983,0.978776542
67,58557,58557.95933,54643.25,1.071641224,0.999983617
68,58170,59361.23357,54730.95833,1.084600661,0.979932466
69,54983,53395.91551,54854,0.973418812,1.029722957
70,55720,53784.20245,55106,0.976013546,1.035991936
71,48724,49633.12839,55443.83333,0.895196551,0.981683033
72,50563,51498.78388,55933.125,0.920720662,0.98182901
73,49879,49423.7617,56296.79167,0.877914358,1.00921092
74,50893,51674.35087,56336.75,0.917240538,0.984879329
75,59979,60941.05172,56394.125,1.080627667,0.984213405
76,60155,58727.02323,56626,1.037103508,1.024315497
77,62321,61786.74866,56948.33333,1.084961491,1.008646698
78,64965,61907.40976,57291.91667,1.080560983,1.04938973
79,59862,61713.00505,57587.375,1.071641224,0.97000624
80,57824,62865.6235,57962,1.084600661,0.919803173
81,56706,56994.11759,58550.45833,0.973418812,0.994944784
82,59562,57662.14827,59079.25,0.976013546,1.032947987
83,52618,53276.27996,59513.5,0.895196551,0.987644033
84,54915,55184.08342,59935.75,0.920720662,0.995123894
85,52618,53098.56488,60482.625,0.877914358,0.990949569
86,57145,56254.97368,61330.66667,0.917240538,1.015821291
87,67850,67164.88174,62153.58333,1.080627667,1.010200543
88,64975,64932.14316,62609.125,1.037103508,1.000660025
89,67923,68394.25455,63038.41667,1.084961491,0.993109735
