t,Observations,Fit,Trend,Seasonal,Random
1,587,NA,NA,0.799098293,NA
2,577,NA,NA,0.791710063,NA
3,691,NA,NA,0.974625024,NA
4,730,NA,NA,1.029997171,NA
5,807,NA,NA,1.108033548,NA
6,826,NA,NA,1.147081915,NA
7,832,823.2007195,715.4583333,1.150592119,1.010689107
8,867,818.343543,713.9166667,1.146273201,1.05945725
9,686,754.0837063,710.4166667,1.061466801,0.909713331
10,794,750.8841551,706.375,1.06301066,1.057420102
11,661,632.3426738,702.75,0.899811702,1.045319298
12,536,577.0831659,696.7083333,0.828299503,0.928808934
13,570,552.4099908,691.2916667,0.799098293,1.031842308
14,557,543.6738981,686.7083333,0.791710063,1.024511204
15,627,667.455704,684.8333333,0.974625024,0.939388182
16,697,704.6468144,684.125,1.029997171,0.989148018
17,753,753.0934682,679.6666667,1.108033548,0.999875888
18,735,775.5229648,676.0833333,1.147081915,0.947747563
19,793,776.4579147,674.8333333,1.150592119,1.021304548
20,796,772.0150011,673.5,1.146273201,1.031068048
21,712,714.322929,672.9583333,1.061466801,0.996748069
22,751,716.6020613,674.125,1.06301066,1.048001451
23,597,607.7478206,675.4166667,0.899811702,0.982315328
24,514,561.8286501,678.2916667,0.828299503,0.914869685
25,562,545.5510637,682.7083333,0.799098293,1.030151048
26,533,542.1894418,684.8333333,0.791710063,0.983051234
27,638,670.2577509,687.7083333,0.974625024,0.951872618
28,714,714.3459544,693.5416667,1.029997171,0.999515705
29,767,773.1304082,697.75,1.108033548,0.992070667
30,790,805.4904798,702.2083333,1.147081915,0.980768885
31,844,812.1262704,705.8333333,1.150592119,1.039247258
32,796,812.0390404,708.4166667,1.146273201,0.980248437
33,781,759.7448625,715.75,1.061466801,1.027976678
34,822,769.4868416,723.875,1.06301066,1.068244388
35,627,655.737778,728.75,0.899811702,0.956174893
36,591,608.0408598,734.0833333,0.828299503,0.971974153
37,572,589.334991,737.5,0.799098293,0.970585505
38,585,585.2056886,739.1666667,0.791710063,0.999648519
39,762,721.3849553,740.1666667,0.974625024,1.056301486
40,785,759.0649983,736.9583333,1.029997171,1.034167037
41,813,817.1747418,737.5,1.108033548,0.99489125
42,872,852.3774531,743.0833333,1.147081915,1.02302096
43,844,859.9237847,747.375,1.150592119,0.98148233
44,836,860.2302762,750.4583333,1.146273201,0.971832802
45,765,798.842223,752.5833333,1.061466801,0.957635911
46,761,803.8575196,756.2083333,1.06301066,0.946685179
47,701,687.081219,763.5833333,0.899811702,1.020257839
48,651,639.6542908,772.25,0.828299503,1.017737252
49,615,621.9315422,778.2916667,0.799098293,0.988854815
50,616,620.3378226,783.5416667,0.791710063,0.993007322
51,782,772.6339878,792.75,0.974625024,1.012122185
52,852,828.1606418,804.0416667,1.029997171,1.028785911
53,923,902.0778124,814.125,1.108033548,1.023193329
54,970,942.757949,821.875,1.147081915,1.028896124
55,891,955.4708718,830.4166667,1.150592119,0.932524503
56,915,963.1082961,840.2083333,1.146273201,0.950048924
57,907,901.5833638,849.375,1.061466801,1.006007915
58,890,908.0325643,854.2083333,1.06301066,0.98014106
59,814,770.9511681,856.7916667,0.899811702,1.055838597
60,724,712.5446471,860.25,0.828299503,1.016076681
61,747,689.1223904,862.375,0.799098293,1.083987417
62,719,686.6105525,867.25,0.791710063,1.047172953
63,899,847.9237709,870,0.974625024,1.060236817
64,851,895.7971227,869.7083333,1.029997171,0.949991888
65,986,963.4813382,869.5416667,1.108033548,1.023372183
66,990,994.0420696,866.5833333,1.147081915,0.995933704
67,922,991.9542303,862.125,1.150592119,0.929478369
68,1001,984.027782,858.4583333,1.146273201,1.017247702
69,887,907.9963923,855.4166667,1.061466801,0.976876128
70,903,907.7668117,853.9583333,1.06301066,0.994748859
71,797,768.3267173,853.875,0.899811702,1.037319127
72,670,706.6430131,853.125,0.828299503,0.948144944
73,694,683.0292659,854.75,0.799098293,1.01606188
74,684,678.5615002,857.0833333,0.791710063,1.008014749
75,861,833.7104893,855.4166667,0.974625024,1.032732598
76,854,879.2313348,853.625,1.029997171,0.971302962
77,981,944.4139276,852.3333333,1.108033548,1.038739446
78,977,974.1115213,849.2083333,1.147081915,1.002965244
79,974,974.0241698,846.5416667,1.150592119,0.999975186
80,1005,968.3620482,844.7916667,1.146273201,1.037834973
81,843,890.7475568,839.1666667,1.061466801,0.946396084
82,904,885.6650484,833.1666667,1.06301066,1.020701903
83,765,745.1190738,828.0833333,0.899811702,1.026681542
84,627,679.5162044,820.375,0.828299503,0.922715302
85,673,651.8311367,815.7083333,0.799098293,1.032475993
86,663,641.7799702,810.625,0.791710063,1.033064338
87,747,786.0350819,806.5,0.974625024,0.950339262
88,824,828.2035583,804.0833333,1.029997171,0.994924486
89,889,881.717696,795.75,1.108033548,1.008259224
90,884,903.4703934,787.625,1.147081915,0.978449329
91,955,898.372738,780.7916667,1.150592119,1.063033148
92,902,885.1617184,772.2083333,1.146273201,1.019022831
93,847,811.6682802,764.6666667,1.061466801,1.043529753
94,842,804.787654,757.0833333,1.06301066,1.046238714
95,627,671.1095613,745.8333333,0.899811702,0.934273681
96,570,609.0072092,735.25,0.828299503,0.935949512
97,566,579.9122903,725.7083333,0.799098293,0.976009665
98,564,565.1160457,713.7916667,0.791710063,0.998025104
99,665,685.28322,703.125,0.974625024,0.970401698
100,724,712.4147097,691.6666667,1.029997171,1.016262003
101,719,756.509905,682.75,1.108033548,0.950417166
102,800,776.9090221,677.2916667,1.147081915,1.029721598
103,810,771.2802502,670.3333333,1.150592119,1.050201921
104,761,760.791076,663.7083333,1.146273201,1.000274614
105,732,702.3371997,661.6666667,1.061466801,1.042234414
106,682,703.9788097,662.25,1.06301066,0.96877916
107,573,596.5376665,662.9583333,0.899811702,0.960542866
108,493,550.1634321,664.2083333,0.828299503,0.896097362
109,476,530.3349004,663.6666667,0.799098293,0.897546059
110,495,526.0253613,664.4166667,0.791710063,0.941019267
111,685,649.8312348,666.75,0.974625024,1.054119844
112,718,688.1239431,668.0833333,1.029997171,1.04341668
113,742,744.4600402,671.875,1.108033548,0.996695538
114,807,775.9531205,676.4583333,1.147081915,1.040011282
115,790,781.9711686,679.625,1.150592119,1.010267426
116,799,783.3822104,683.4166667,1.146273201,1.01993636
117,750,728.0777696,685.9166667,1.061466801,1.030109737
118,696,729.5796498,686.3333333,1.06301066,0.953973977
119,650,616.6334612,685.2916667,0.899811702,1.054110815
120,526,NA,NA,0.828299503,NA
121,519,NA,NA,NA,NA
122,543,NA,NA,NA,NA
123,697,NA,NA,NA,NA
124,716,NA,NA,NA,NA
125,719,NA,NA,NA,NA
