t,Observations,Fit,Trend,Seasonal,Random
1,12117,NA,NA,0.911726022,NA
2,11597,NA,NA,0.872989243,NA
3,12291,NA,NA,0.984192035,NA
4,12461,NA,NA,0.998715784,NA
5,13469,NA,NA,1.064034759,NA
6,13448,NA,NA,1.062571392,NA
7,13896,14162.29636,13064.16667,1.08405662,0.981196809
8,13846,14208.26166,13101.95833,1.084438013,0.97450345
9,13159,13343.29642,13159,1.014005351,0.986188089
10,13682,13491.90033,13235,1.019410678,1.014089911
11,13083,12620.35237,13300.54167,0.94886003,1.036658852
12,13507,12750.08659,13350.875,0.955000072,1.059365355
13,12545,12215.53318,13398.25,0.911726022,1.026971137
14,12076,11727.84661,13434.125,0.872989243,1.029686046
15,13181,13243.37003,13456.08333,0.984192035,0.995290471
16,13395,13460.8994,13478.20833,0.998715784,0.995104383
17,14108,14374.62192,13509.54167,1.064034759,0.9814519
18,14017,14385.84416,13538.70833,1.062571392,0.974360618
19,14464,14696.10391,13556.58333,1.08405662,0.984206432
20,14139,14720.07122,13573.91667,1.084438013,0.960525244
21,13393,13794.1908,13603.66667,1.014005351,0.97091596
22,13979,13899.45222,13634.79167,1.019410678,1.005723087
23,13538,12958.22561,13656.625,0.94886003,1.044741804
24,13752,13081.0339,13697.41667,0.955000072,1.051293048
25,12729,12541.89311,13756.20833,0.911726022,1.014918553
26,12308,12087.88192,13846.54167,0.872989243,1.018209814
27,13663,13743.3806,13964.125,0.984192035,0.994151323
28,13660,14039.32229,14057.375,0.998715784,0.972981438
29,14367,15042.03772,14136.79167,1.064034759,0.955123253
30,14737,15122.33896,14231.83333,1.062571392,0.974518561
31,15155,15537.55769,14332.79167,1.08405662,0.975378518
32,15616,15636.60208,14419.08333,1.084438013,0.998682445
33,14738,14706.54211,14503.41667,1.014005351,1.00213904
34,14872,14873.83893,14590.625,1.019410678,0.999876365
35,14551,13946.38426,14698.04167,0.94886003,1.043352867
36,15020,14159.1494,14826.33333,0.955000072,1.060798186
37,13884,13608.87847,14926.5,0.911726022,1.020216326
38,13224,13086.50887,14990.45833,0.872989243,1.010506326
39,14771,14798.1474,15035.83333,0.984192035,0.998165487
40,14645,15048.69105,15068.04167,0.998715784,0.973174342
41,15960,16052.6934,15086.625,1.064034759,0.994225679
42,16223,16045.09366,15100.25,1.062571392,1.011087897
43,16073,16405.20951,15133.16667,1.08405662,0.979749755
44,16233,16481.46966,15198.16667,1.084438013,0.984924302
45,15210,15487.70648,15273.79167,1.014005351,0.982069231
46,15173,15666.3033,15368,1.019410678,0.968511825
47,14696,14696.18136,15488.25,0.94886003,0.999987659
48,15202,14880.41321,15581.58333,0.955000072,1.021611416
49,14492,14272.0072,15653.83333,0.911726022,1.015414286
50,14176,13739.65032,15738.625,0.872989243,1.031758427
51,15634,15564.874,15814.875,0.984192035,1.004441154
52,16043,15889.69296,15910.125,0.998715784,1.009648206
53,17448,17064.41312,16037.45833,1.064034759,1.022478762
54,16975,17170.44531,16159.33333,1.062571392,0.988617342
55,17055,17646.00265,16277.75,1.08405662,0.966507845
56,17286,17751.52731,16369.33333,1.084438013,0.973775366
57,15987,16668.64247,16438.41667,1.014005351,0.9591063
58,16682,16810.29446,16490.20833,1.019410678,0.992368102
59,16243,15654.25324,16497.95833,0.94886003,1.03760938
60,16580,15753.28327,16495.58333,0.955000072,1.052479011
61,15956,15058.71279,16516.70833,0.911726022,1.059585917
62,14910,14451.3548,16553.875,0.872989243,1.031737177
63,16558,16344.92821,16607.45833,0.984192035,1.013035958
