t,Observations,Fit,Trend,Seasonal,Random
1,979,NA,NA,0.783643327,NA
2,1108,NA,NA,0.78039151,NA
3,1224,NA,NA,0.973195756,NA
4,1276,NA,NA,0.979120052,NA
5,1302,NA,NA,1.015700251,NA
6,1343,NA,NA,1.087656774,NA
7,1350,1365.415621,1311.041667,1.041473857,0.988709942
8,1389,1445.810851,1308.666667,1.10479688,0.960706581
9,1216,1197.008904,1303.666667,0.918186324,1.015865459
10,1129,1106.100904,1307.791667,0.845777605,1.020702538
11,1216,1234.777292,1316,0.938280617,0.984792973
12,2170,2029.859883,1325.166667,1.531777047,1.069039306
13,1040,1046.359752,1335.25,0.783643327,0.993922022
14,990,1050.862201,1346.583333,0.78039151,0.942083556
15,1222,1321.072688,1357.458333,0.973195756,0.925005876
16,1377,1336.662058,1365.166667,0.979120052,1.030178116
17,1398,1397.138016,1375.541667,1.015700251,1.000616964
18,1467,1518.414175,1396.041667,1.087656774,0.966139558
19,1468,1473.728902,1415.041667,1.041473857,0.996112648
20,1543,1579.307141,1429.5,1.10479688,0.977010716
21,1323,1331.217138,1449.833333,0.918186324,0.993827349
22,1207,1242.482543,1469.041667,0.845777605,0.97144222
23,1387,1391.97839,1483.541667,0.938280617,0.996423515
24,2491,2297.02733,1499.583333,1.531777047,1.084445086
25,1175,1186.533952,1514.125,0.783643327,0.99027929
26,1202,1192.438228,1528,0.78039151,1.008018673
27,1498,1501.72215,1543.083333,0.973195756,0.997521412
28,1562,1522.368494,1554.833333,0.979120052,1.026032794
29,1561,1588.555193,1564,1.015700251,0.982653928
30,1689,1711.518572,1573.583333,1.087656774,0.986842929
31,1595,1647.1343,1581.541667,1.041473857,0.968348483
32,1749,1752.299919,1586.083333,1.10479688,0.998116807
33,1479,1462.632556,1592.958333,0.918186324,1.011190401
34,1333,1353.103205,1599.833333,0.845777605,0.985142888
35,1481,1506.878671,1606,0.938280617,0.982826308
36,2627,2470.50108,1612.833333,1.531777047,1.063347035
37,1230,1270.089922,1620.75,0.783643327,0.968435367
38,1256,1272.23326,1630.25,0.78039151,0.987240343
39,1609,1594.986744,1638.916667,0.973195756,1.008785814
40,1616,1611.753996,1646.125,0.979120052,1.0026344
41,1655,1678.275382,1652.333333,1.015700251,0.986131369
42,1759,1806.054073,1660.5,1.087656774,0.973946476
43,1715,1739.174552,1669.916667,1.041473857,0.986099985
44,1857,1852.560236,1676.833333,1.10479688,1.002396556
45,1579,1543.853788,1681.416667,0.918186324,1.022765247
46,1406,1427.249709,1687.5,0.845777605,0.985111429
47,1557,1592.144922,1696.875,0.938280617,0.977926053
48,2747,2616.849612,1708.375,1.531777047,1.049735524
49,1336,1347.768567,1719.875,0.783643327,0.99126811
50,1316,1351.117835,1731.333333,0.78039151,0.974008311
51,1659,1691.860271,1738.458333,0.973195756,0.980577432
52,1712,1705.423147,1741.791667,0.979120052,1.003856434
53,1784,1774.047451,1746.625,1.015700251,1.00561008
54,1906,1899.819151,1746.708333,1.087656774,1.003253388
55,1844,1816.937933,1744.583333,1.041473857,1.014894327
56,2003,1928.699154,1745.75,1.10479688,1.038523813
57,1604,1602.043846,1744.791667,0.918186324,1.001221037
58,1461,1474.965662,1743.916667,0.845777605,0.990531534
59,1618,1637.612437,1745.333333,0.938280617,0.988023762
60,2688,2678.886583,1748.875,1.531777047,1.003401942
61,1344,1373.008412,1752.083333,0.783643327,0.978872371
62,1336,1366.205404,1750.666667,0.78039151,0.977891023
63,1616,1702.200476,1749.083333,0.973195756,0.949359387
64,1734,1715.459128,1752.041667,0.979120052,1.010808111
65,1796,1784.5007,1756.916667,1.015700251,1.006443988
66,1979,1921.164415,1766.333333,1.087656774,1.030104443
67,1848,1849.397202,1775.75,1.041473857,0.99924451
68,1965,1967.597211,1780.958333,1.10479688,0.998680009
69,1604,1644.012612,1790.5,0.918186324,0.975661615
70,1532,1523.104504,1800.833333,0.845777605,1.005840371
71,1664,1699.499862,1811.291667,0.938280617,0.979111583
72,2868,2794.025158,1824.041667,1.531777047,1.026476083
73,1390,1438.899755,1836.166667,0.783643327,0.966015871
74,1415,1440.114984,1845.375,0.78039151,0.982560432
75,1766,1803.575034,1853.25,0.973195756,0.979166359
76,1832,1822.305604,1861.166667,0.979120052,1.005319852
77,1949,1895.169706,1865.875,1.015700251,1.028403944
78,2132,2030.881792,1867.208333,1.087656774,1.049790297
79,1986,1949.248508,1871.625,1.041473857,1.018854185
80,2048,2075.314907,1878.458333,1.10479688,0.986838187
81,1710,1729.786518,1883.916667,0.918186324,0.988561295
82,1616,1598.202507,1889.625,0.845777605,1.011135943
83,1693,1777.729009,1894.666667,0.938280617,0.952338625
84,2871,2911.65287,1900.833333,1.531777047,0.986037872
85,1493,1495.485334,1908.375,0.783643327,0.998338109
86,1476,1495.587813,1916.458333,0.78039151,0.986902933
87,1836,1875.388771,1927.041667,0.973195756,0.97899701
88,1899,1897.085898,1937.541667,0.979120052,1.00100897
89,2003,1978.711052,1948.125,1.015700251,1.012275136
90,2226,2142.593206,1969.916667,1.087656774,1.038927965
91,2073,2072.446186,1989.916667,1.041473857,1.000267227
