t,Observations,Fit,Trend,Seasonal,Random
1,1793,NA,NA,0.940032245,NA
2,2046,NA,NA,1.040035533,NA
3,2237,NA,NA,1.111470081,NA
4,2670,NA,NA,1.052858863,NA
5,2229,NA,NA,1.048370279,NA
6,2266,NA,NA,1.047699878,NA
7,2313,2199.31525,2120.833333,1.037005226,1.051690975
8,2145,2250.268459,2141.416667,1.050831673,0.9532196
9,2069,2078.143749,2165,0.959881639,0.99560004
10,2206,2131.353716,2178.083333,0.978545533,1.035022945
11,1711,1919.441576,2182.208333,0.879586768,0.891405095
12,1624,1874.57958,2195.875,0.853682282,0.866327585
13,2075,2080.878878,2213.625,0.940032245,0.99717481
14,2258,2321.18597,2231.833333,1.040035533,0.972778583
15,2591,2496.917537,2246.5,1.111470081,1.037679444
16,2630,2380.338412,2260.833333,1.052858863,1.104884913
17,2368,2404.699328,2293.75,1.048370279,0.984738496
18,2455,2450.482707,2338.916667,1.047699878,1.00184343
19,2550,2454.116075,2366.541667,1.037005226,1.039070656
20,2345,2504.832432,2383.666667,1.050831673,0.936190369
21,2221,2303.076013,2399.333333,0.959881639,0.964362439
22,2398,2362.657416,2414.458333,0.978545533,1.014958827
23,2309,2144.029397,2437.541667,0.879586768,1.076944189
24,2110,2106.247609,2467.25,0.853682282,1.001781552
25,2252,2345.576291,2495.208333,0.940032245,0.960105203
26,2492,2644.463682,2542.666667,1.040035533,0.942346086
27,2733,2899.362329,2608.583333,1.111470081,0.942621063
28,2851,2814.160133,2672.875,1.052858863,1.013090892
29,2701,2851.174021,2719.625,1.048370279,0.947329058
30,2835,2881.174665,2750,1.047699878,0.983973667
31,2841,2892.077949,2788.875,1.037005226,0.982338668
32,3193,2970.963849,2827.25,1.050831673,1.074735393
33,2955,2755.420235,2870.583333,0.959881639,1.072431697
34,3207,2843.612546,2905.958333,0.978545533,1.127790776
35,2622,2583.969379,2937.708333,0.879586768,1.014717907
36,2526,2546.605386,2983.083333,0.853682282,0.991908685
37,2769,2853.742055,3035.791667,0.940032245,0.970304935
38,2896,3202.832758,3079.541667,1.040035533,0.904199569
39,3369,3453.383853,3107.041667,1.111470081,0.975564879
40,3064,3282.945542,3118.125,1.052858863,0.933308202
41,3250,3282.097888,3130.666667,1.048370279,0.990220314
42,3375,3299.949037,3149.708333,1.047699878,1.022743067
43,3566,3277.066139,3160.125,1.037005226,1.088168456
44,3518,3355.393102,3193.083333,1.050831673,1.048461355
45,3290,3120.535214,3250.958333,0.959881639,1.054306321
46,3138,3248.771169,3320,0.978545533,0.965903671
47,2992,2973.406421,3380.458333,0.879586768,1.006253292
48,2613,2913.937758,3413.375,0.853682282,0.896724713
49,2932,3220.863815,3426.333333,0.940032245,0.9103148
50,3524,3569.531953,3432.125,1.040035533,0.987244279
51,4130,3817.343993,3434.5,1.111470081,1.081904069
52,3960,3635.828737,3453.291667,1.052858863,1.089160212
53,3805,3654.793522,3486.166667,1.048370279,1.041098485
54,3610,3686.550292,3518.708333,1.047699878,0.979235251
55,3642,3690.183096,3558.5,1.037005226,0.986942898
56,3581,3778.133928,3595.375,1.050831673,0.947822409
57,3284,3467.532426,3612.458333,0.959881639,0.947071172
58,3595,3545.474329,3623.208333,0.978545533,1.013968701
59,3324,3205.800575,3644.666667,0.879586768,1.036870486
60,3062,3141.230666,3679.625,0.853682282,0.97477719
61,3438,3500.053392,3723.333333,0.940032245,0.98227073
62,3903,3909.363564,3758.875,1.040035533,0.998372225
63,4161,4218.769937,3795.666667,1.111470081,0.98630645
64,4187,4032.712659,3830.25,1.052858863,1.038258947
65,4093,4030.372175,3844.416667,1.048370279,1.015538968
66,4161,4046.260583,3862.041667,1.047699878,1.028356902
67,4140,4035.37621,3891.375,1.037005226,1.025926651
68,3936,4117.771481,3918.583333,1.050831673,0.955856831
69,3812,3792.732326,3951.25,0.959881639,1.005080156
70,3897,3896.894494,3982.333333,0.978545533,1.000027074
